Answer,Person,Specific Type,General Type
syphilis,0,Disease or medical condition,"medicine,disease"
lawrence_klein,1,Organization leader,"business,board member"
brian_boru,1,Military Commander,"military,military commander"
epr_paradox,0,,
bamboo,0,Biological Tribe,
body_of_tibia,0,Anatomical structure,"medicine,anatomical structure"
benjamin_disraeli,1,Statesman,
cytochrome_c,0,Protein,"biology,protein"
epicureanism,0,,
leptin,0,Hormone,"medicine,hormone"
albany_congress,0,,
pitcairn_islands,0,Country,"location,country"
botany_bay,0,Body Of Water,"geography,body of water"
thermodynamic_activity,0,,
samuel_richardson,1,Novelist,
imre_lakatos,1,Philosopher,
john_henry_(folklore),0,Film character,"film,film character"
golden_legend,0,Book,"book,book"
richard_posner,1,Professor,
stanford_prison_experiment,0,Event,"time,event"
duodenum,0,Anatomical structure,"medicine,anatomical structure"
herbert_spencer,1,Philosopher,
skin_effect,0,,
simpson_desert,0,Road,"transportation,road"
beatitudes,0,,
anna_freud,1,Psychologist,
melanin,0,,
tasmania,0,Australian State,"location,australian state"
meditations_on_first_philosophy,0,Book,"book,book"
anton_chekhov,1,Dramatist,
original_sin,1,Musical Artist,"music,artist"
orion_(constellation),0,Constellation,"astronomy,constellation"
tilman_riemenschneider,1,Sculpture Artist,
procyon,0,Animal,"biology,animal"
victoria_(australia),0,Australian State,"location,australian state"
earnshaw's_theorem,0,,
maunder_minimum,0,Event,"time,event"
symphony_of_psalms,0,Composition,"music,composition"
the_writing_on_the_wall,0,,
internal_energy,0,,
melanoma,0,Disease or medical condition,"medicine,disease"
we_are_the_night_(film),0,Horror Film,
being_and_nothingness,0,Book,"book,book"
cambodia,0,Country,"location,country"
upanishads,0,Religious Text,"religion,religious text"
lady_macbeth_of_the_mtsensk_district_(opera),0,Opera,"opera,opera"
rh_blood_group_system,0,,
sherwood_anderson,1,Novelist,
lorentz_transformation,0,,
mahdi,0,Belief,"religion,belief"
glycosylation,0,Chemical Compound,"chemistry,chemical compound"
pion,0,Subatomic particle,"physics,particle"
hexokinase,0,Chemical Compound,"chemistry,chemical compound"
learned_helplessness,0,,
bruno_latour,1,Author,"book,author"
bunraku,0,Film subject,"film,film subject"
gallbladder,0,Anatomical structure,"medicine,anatomical structure"
ajax_(mythology),0,,
syntactic_structures,0,,
laminin,0,Protein,"biology,protein"
middle_english,0,,
"the_lion,_the_witch_and_the_wardrobe",0,Fantasy Book,
thiol,0,Chemical Classification,"chemistry,chemical classification"
lou_dobbs,1,Commentator,
"joseph_lister,_1st_baron_lister",0,,
arthur_miller,1,Dramatist,
robert_moses,1,Urban planner,
civilian_conservation_corps,0,Government Agency,"government,government agency"
homo_habilis,0,Biological Species,
rationality,0,Literature Subject,"book,book subject"
erich_maria_remarque,1,Novelist,
alfred_adler,1,Organization leader,"business,board member"
sonora,0,Mexican state,"location,mx state"
the_third_wave_(toffler),0,Sociology Book,
femur,0,Bone,"medicine,bone"
indus_river,0,River,"geography,river"
book_of_daniel,0,Religious Text,"religion,religious text"
orson_welles,1,Radio personality,
islets_of_langerhans,0,Anatomical structure,"medicine,anatomical structure"
william_walton,1,Composer,"music,composer"
norman_rockwell,1,Painting Artist,
pontius_pilate,1,Person Or Being In Fiction,"fictional universe,person in fiction"
compromise_of_1850,0,,
newton's_rings,0,,
horn_of_africa,0,Location,"location,location"
decarboxylation,0,,
michael_tippett,1,Composer,"music,composer"
vascular_endothelial_growth_factor,0,Chemical Compound,"chemistry,chemical compound"
human_papillomavirus,0,,
ancient_greek,0,,
all_my_sons,0,Books of Play,
adaptive_optics,0,,
rhodopsin,0,Protein,"biology,protein"
etruscan_mythology,0,,
leo_strauss,1,Philosopher,
beta-lactamase,0,,
francisco_i._madero,1,Military Commander,"military,military commander"
cavalleria_rusticana,0,Opera,"opera,opera"
eurystheus,0,Fictional Character,"fictional universe,fictional character"
ferrofluid,0,,
myoglobin,0,Chemical Compound,"chemistry,chemical compound"
pryderi,0,Deity,"religion,deity"
tierra_del_fuego,0,,
calgary,0,Governmental Jurisdiction,"government,governmental jurisdiction"
william_penn,1,Author,"book,author"
gerhard_richter,1,Painting Artist,
henry_l._stimson,1,Politician,"government,politician"
to_the_lighthouse,0,Novel,
oregon,0,US State,"location,us state"
cystic_fibrosis,0,Disease or medical condition,"medicine,disease"
talcott_parsons,1,Sociologist,
freyja,1,Musical Artist,"music,artist"
the_tribute_money_(masaccio),0,Artwork,"visual art,artwork"
dietrich_fischer-dieskau,1,Singer,
pyrenees,0,Mountain range,"geography,mountain range"
four_quartets,0,Poetry Book,
the_picture_of_dorian_gray,0,Speculative Fiction Book,
jan_tinbergen,1,Economist,
feast_of_the_immaculate_conception,0,,
europa_(mythology),0,Opera Character,"opera,opera character"
pontiac_(person),1,Tribal chief,
united_nations_general_assembly,0,Law Organization,
concordat_of_worms,0,,
manichaeism,0,Religion,"religion,religion"
grignard_reaction,0,,
electron_capture,0,Radioactive decay mode,"chemistry,radioactive decay mode"
our_town,0,Play,"theater,play"
magic_(paranormal),0,Quotation Subject,"media common,quotation subject"
vancouver,0,City/Town/Village,"location,citytown"
elephant,0,Biological Subfamily,
erasmus_darwin,1,Botanist,
edinburgh,0,City/Town/Village,"location,citytown"
stephen_vincent_benet,0,,
echidna,0,Biological Family,
conchobar_mac_nessa,1,Man,
george_caleb_bingham,1,Painting Artist,
critical_point_(thermodynamics),0,,
leviathan_(book),0,Speculative Fiction Book,
santa_fe_trail,0,Location,"location,location"
ezra_pound,1,Poet,
gotthold_ephraim_lessing,1,Philosopher,
hesiod,1,Author,"book,author"
han_dynasty,0,Royal line,"royalty,royal line"
pernicious_anemia,0,Disease or medical condition,"medicine,disease"
book_of_lamentations,0,Religious Text,"religion,religious text"
harold_pinter,1,Dramatist,
gross_domestic_product,0,Literature Subject,"book,book subject"
robert_brown_(botanist),1,Botanist,
ernest_hemingway,1,Novelist,
limbo,0,,
chromatin,0,,
aldehyde,0,Chemical Classification,"chemistry,chemical classification"
moment_of_inertia,0,,
cyrus_the_great,1,Monarch,"royalty,monarch"
avogadro_constant,0,,
the_rite_of_spring,0,Ballet,
word_of_faith,0,,
coagulation,0,Literature Subject,"book,book subject"
freyr,0,Deity,"religion,deity"
john_vanbrugh,1,Dramatist,
torsion_spring,0,,
hydrogen_peroxide,0,Chemical Compound,"chemistry,chemical compound"
nemean_lion,0,Fictional Character,"fictional universe,fictional character"
honduras,0,Country,"location,country"
scythians,0,Ethnicity,"people,ethnicity"
bernadette_soubirous,1,Deceased Person,"people,deceased person"
venus_de_milo,0,Sculpture,
john_ruskin,1,Author,"book,author"
sawm_of_ramadan,0,Religious Practice,"religion,religious practice"
nominalism,0,,
primavera_(painting),0,Italian Renaissance Artwork,
lagrangian,0,,
symbolic_interactionism,0,,
bragi,0,Deity,"religion,deity"
gunnar_myrdal,1,Economist,
induced_stem_cells,0,,
o_captain!_my_captain!,0,Poem,"book,poem"
presbyterianism,0,Religion,"religion,religion"
jean_renoir,1,Film director,"film,director"
bertrand_russell's_views_on_philosophy,0,,
samuel_p._huntington,1,Professor,
dirac_equation,0,,
dialectic_of_enlightenment,0,Book,"book,book"
battle_of_shiloh,0,Military Conflict,"military,military conflict"
emotion,0,Quotation Subject,"media common,quotation subject"
the_mighty_ducks_(film_series),0,,
washington_crossing_the_delaware,0,History Painting,
maillard_reaction,0,,
liminality,0,Quotation Subject,"media common,quotation subject"
the_golden_bough,0,Book,"book,book"
uriel,1,Person Or Being In Fiction,"fictional universe,person in fiction"
the_three-cornered_hat,0,Ballet,
quantum_mechanics,0,Field of study,"education,field of study"
lens_(optics),0,Invention,"law,invention"
richard_neutra,1,Architect,"architecture,architect"
orpheus_in_the_underworld,0,Opera,"opera,opera"
ozymandias,1,Musical Artist,"music,artist"
condensation_reaction,0,,
battle_of_bunker_hill,0,Military Conflict,"military,military conflict"
giovanni_pico_della_mirandola,1,Philosopher,
thetis,0,Opera Character,"opera,opera character"
meteora,0,World Heritage Site,
self-portrait_with_palette_(manet),0,Impressionist Artwork,
samuel_johnson,1,Author,"book,author"
maya_lin,1,Sculpture Artist,
jansenism,0,,
carson_mccullers,1,Dramatist,
burundi,0,Country,"location,country"
emer,0,,
gravity's_rainbow,0,Historical Novel,
leonid_brezhnev,1,Politician,"government,politician"
macular_degeneration,0,Disease or medical condition,"medicine,disease"
wynton_marsalis,1,Bandleader,
long_march,0,Rocket,"spaceflight,rocket"
algarve,1,Musical Artist,"music,artist"
leptis_magna,0,World Heritage Site,
ferruccio_busoni,1,Composer,"music,composer"
syllable,0,Literature Subject,"book,book subject"
sean_o'casey,0,,
addis_ababa,0,City/Town/Village,"location,citytown"
andrew_marvell,1,Poet,
solvay_process,0,,
george_armstrong_custer,1,Military Commander,"military,military commander"
romulus_and_remus,0,Man,
knee,0,,
tyrosine,0,Amino Acid,"biology,amino acid"
thalidomide,0,Prescription drug,
gateway_arch,0,National Register of Historic Places Location,
maoism,0,Political ideology,"government,political ideology"
edward_albee,1,Dramatist,
the_bald_soprano,0,Play,"theater,play"
vancouver_island,0,Geographical Feature,"geography,geographical feature"
shiva,1,Actor,
friction,1,Drum and bass Artist,
magnetic_moment,0,Dimension,"measurement unit,dimension"
knights_of_labor,0,Trade union,
pagliacci,0,Opera,"opera,opera"
solar_eclipse,0,Literature Subject,"book,book subject"
merlin,0,,
actin,0,,
patroclus,0,Fictional Character,"fictional universe,fictional character"
delaware_river,0,River,"geography,river"
nova_scotia,0,,
wallace_line,0,,
mikhail_bakunin,1,Philosopher,
las_meninas,0,Portrait Artwork,
benjamin_harrison,1,US President,"government,us president"
krishna,1,Actor,
saliva,0,Biofluid,"medicine,biofluid"
cochlea,0,Award-Winning Work,"award,award winning work"
permeability_(electromagnetism),0,Dimension,"measurement unit,dimension"
joseph_schumpeter,1,Economist,
carmelites,0,Religious order,"religion,religious order"
perun,0,Deity,"religion,deity"
gout,0,Disease or medical condition,"medicine,disease"
silurian,0,Geologic time period,"time,geologic time period"
franz_rosenzweig,1,Philosopher,
free_soil_party,0,Political party,"government,political party"
oscar_niemeyer,1,Architect,"architecture,architect"
steve_reich,1,Minimalist Artist,
dysentery,0,Disease or medical condition,"medicine,disease"
von_neumann_architecture,0,,
zoroastrianism,0,Religion,"religion,religion"
hymenoptera,0,Biological Order,
acetic_acid,0,Chemical Compound,"chemistry,chemical compound"
elijah,1,Prophet,
ontological_argument,0,,
leo_(constellation),0,Constellation,"astronomy,constellation"
kary_mullis,1,Chemist,
marcus_theory,0,,
rhodes,0,,
principia_mathematica,0,,
apis_(god),0,Deity,"religion,deity"
clear_and_present_danger,0,Political thriller Film,
albigensian_crusade,0,Military Conflict,"military,military conflict"
on_crimes_and_punishments,0,Book,"book,book"
book_of_mormon,0,,
kurt_weill,1,Composer,"music,composer"
hugo_wolf,1,Composer,"music,composer"
pesaro_madonna,0,Artwork,"visual art,artwork"
giuseppe_arcimboldo,1,Painting Artist,
heliosphere,0,,
damping,0,,
essays_(montaigne),0,Essay Book,
black_hole_of_calcutta,0,Location,"location,location"
mekong,0,River,"geography,river"
photon,0,Subatomic particle,"physics,particle"
gustav_kirchhoff,1,Physicist,
portrait_of_madame_x,0,Portrait Artwork,
coming_of_age_in_samoa,0,Sociology Book,
cardiac_muscle,0,Anatomical structure,"medicine,anatomical structure"
lattice_energy,0,,
monarch_butterfly,0,Biological Species,
rigveda,0,Religious Text,"religion,religious text"
sonoluminescence,0,,
paul_broca,1,Academic,"education,academic"
mensheviks,0,Organization,"organization,organization"
the_chrysanthemum_and_the_sword,0,Book,"book,book"
day_of_ashura,0,Holiday,"time,holiday"
snowball_earth,0,,
bronze_age,0,Art Period/Movement,"visual art,art period movement"
de_stijl,0,Art Period/Movement,"visual art,art period movement"
book_of_jonah,0,Religious Text,"religion,religious text"
laurence_sterne,1,Novelist,
hsab_theory,0,,
sigurd,0,Opera Character,"opera,opera character"
battle_of_the_thames,0,Military Conflict,"military,military conflict"
spanish_civil_war,0,Military Conflict,"military,military conflict"
south_australia,0,Australian State,"location,australian state"
yangon,0,City/Town/Village,"location,citytown"
sibylline_books,0,Written Work,"book,written work"
messenger_rna,0,,
wainwright_building,0,National Register of Historic Places Location,
geneva_bible,0,Book,"book,book"
heathcliff_(wuthering_heights),0,,
kalevala_(synopses),0,,
henry_louis_gates,1,Historian,
wandering_jew,0,Event,"time,event"
virgin_of_the_rocks,0,Renaissance Artwork,
guernsey,0,Country,"location,country"
martin_luther_(1953_film),0,,
cologne_cathedral,0,Gothic Structure,
eugenio_montale,1,Poet,
muon,0,Subatomic particle,"physics,particle"
hanseatic_league,0,Defunct Organization,"business,defunct company"
drake_equation,0,,
hades,0,,
gulf_of_fonseca,0,Body Of Water,"geography,body of water"
frederic_edwin_church,1,Painting Artist,
substance_p,0,Chemical Compound,"chemistry,chemical compound"
sagittarius_(constellation),0,Star System,"astronomy,star system"
kerala,0,Indian state,"location,in state"
ostend_manifesto,0,Written Work,"book,written work"
haskell_(programming_language),0,,
tamburlaine_(play),0,Play,"theater,play"
theaetetus_(dialogue),0,,
"william_j._brennan,_jr.",1,Politician,"government,politician"
iphigenia,0,Film character,"film,film character"
vinson_massif,0,Mountain,"geography,mountain"
alkali_metal,0,Chemical Series,"chemistry,chemical series"
edward_sapir,1,Anthropologist,
electron_affinity,0,,
coriolis_effect,0,Literature Subject,"book,book subject"
tsunami,0,,
paul_von_hindenburg,1,Politician,"government,politician"
martin_heidegger,1,Philosopher,
zachary_taylor,1,US President,"government,us president"
cat_stevens,0,,
birch_reduction,0,,
c-reactive_protein,0,Protein,"biology,protein"
tobago,0,,
tuba,0,Musical instrument,"music,instrument"
dresden,0,German city,"location,de city"
pellagra,0,Disease or medical condition,"medicine,disease"
robert_nozick,1,Philosopher,
clavicle,0,Anatomical structure,"medicine,anatomical structure"
cabinda_province,0,Administrative Division,"location,administrative division"
the_dinner_party,0,,
newton's_laws_of_motion,0,Field of study,"education,field of study"
fructose,0,Chemical Compound,"chemistry,chemical compound"
brazil_(1985_film),0,,
proton_decay,0,,
pyrimidine,0,Chemical Compound,"chemistry,chemical compound"
seafloor_spreading,0,,
henry_fielding,1,Novelist,
peter_abelard,0,,
geography_of_tajikistan,0,,
geography_of_kazakhstan,0,,
gadsden_purchase,0,Region,"location,region"
aida,0,Opera,"opera,opera"
bernard_of_clairvaux,1,Physician,
a_child_of_our_time,0,Composition,"music,composition"
paul_feyerabend,1,Philosopher,
elizabeth_cady_stanton,1,Author,"book,author"
endosymbiont,0,,
restriction_fragment_length_polymorphism,0,,
vanir,0,Deity,"religion,deity"
william_graham_sumner,1,Historian,
monopoly,0,Roll and move Game,
lake_van,0,Salt Lake,
hieronymus_bosch,1,Painting Artist,
rust,0,Biological Order,
coupling_reaction,0,,
wendigo,0,Fictional Character,"fictional universe,fictional character"
astatine,0,Chemical Element,"chemistry,chemical element"
guru_granth_sahib,1,Religious Leader,"religion,religious leader"
aqua_regia,1,Musical Artist,"music,artist"
elisha,1,Prophet,
monoamine_oxidase,0,,
yoga,0,Sport,"sports,sport"
phenol,0,Chemical Compound,"chemistry,chemical compound"
miriam,1,Prophet,
uterus,0,Anatomical structure,"medicine,anatomical structure"
nitrous_oxide,1,Trance Artist,
provence,0,Location,"location,location"
fifth_force,0,,
georg_philipp_telemann,1,Composer,"music,composer"
kilogram,0,Culinary measure,"food,culinary measure"
daniel_webster,1,Statesman,
mass,0,Religious Practice,"religion,religious practice"
adam,1,Person Or Being In Fiction,"fictional universe,person in fiction"
judith_leyster,1,Painting Artist,
influenza,0,,
imagined_communities,0,Literature Subject,"book,book subject"
amish,0,TV Genre,"tv,tv genre"
andhra_pradesh,0,Indian state,"location,in state"
ricardian_equivalence,0,,
ahura_mazda,1,Musical Artist,"music,artist"
time_dilation,0,,
mandala,0,Art Subject,"visual art,art subject"
samuel_beckett,1,Novelist,
fanfare_for_the_common_man,0,Composition,"music,composition"
ornette_coleman,1,Free jazz Artist,
salicylic_acid,0,Chemical Compound,"chemistry,chemical compound"
centromere,0,,
ghana,0,Country,"location,country"
pieter_bruegel_the_elder,1,Painting Artist,
lynn_margulis,1,Biologist,
claude_debussy,1,Composer,"music,composer"
white_nile,0,,
machine_learning,0,Software Genre,"computer,software genre"
calcite,0,Chemical Compound,"chemistry,chemical compound"
omar_bongo,1,Politician,"government,politician"
compton_scattering,0,,
romare_bearden,1,Painting Artist,
carnivorous_plant,0,Informal biological grouping,"biology,informal biological grouping"
infrared_spectroscopy,0,,
thirty_years'_war,0,Military Conflict,"military,military conflict"
orinoco,0,River,"geography,river"
poliomyelitis,0,Disease or medical condition,"medicine,disease"
jeremy_bentham,1,Philosopher,
midnight's_children,0,Magic Realism Book,
equal_rights_amendment,0,Constitutional Amendment,"law,constitutional amendment"
spin_(physics),0,,
la_traviata,0,Opera,"opera,opera"
pidgin,0,Language Family,"language,language family"
saul_bellow,1,Novelist,
doric_order,0,Architectural style,"architecture,architectural style"
big_dipper,0,Asterism,"astronomy,asterism"
prion,0,Protein,"biology,protein"
geography_of_bosnia_and_herzegovina,0,,
