Answer,Description,Specific Type,General Type
joseph_conrad,"Joseph Conrad was a Polish author who wrote in English after settling in England. He was granted British nationality in 1886, but always considered himself a Pole. Conrad is regarded as one of the greatest novelists in English, though he did not speak the language fluently until he was in his twenties. He wrote stories and novels, often with a nautical setting, that depict trials of the human spirit in the midst of an indifferent universe. He was a master prose stylist who brought a distinctly non-English sensibility into English literature.
While some of his works have a strain of Romanticism, his works are viewed as modernist literature. His narrative style and anti-heroic characters have influenced many authors, including D. H. Lawrence, T.S. Eliot, F. Scott Fitzgerald, William Faulkner, Gerald Basil Edwards, Ernest Hemingway, George Orwell, Graham Greene, Malcolm Lowry, William Golding, William S. Burroughs, Joseph Heller, Italo Calvino, Gabriel García Márquez, J. G. Ballard, Chinua Achebe, John le Carré, V. S. Naipaul, Philip Roth, Hunter S. Thompson, J. M. Coetzee, Stephen Donaldson and Salman Rushdie.",Novelist,"m,02xhgwq"
philip_roth,"Philip Milton Roth is an American novelist.
He first gained attention with the 1959 novella Goodbye, Columbus, an irreverent and humorous portrait of American-Jewish life for which he received the U.S. National Book Award for Fiction. Roth's fiction, regularly set in Newark, New Jersey, is known for its intensely autobiographical character, for philosophically and formally blurring the distinction between reality and fiction, for its ""supple, ingenious style"" and for its provocative explorations of Jewish and American identity. His profile rose significantly in 1969 after the publication of the controversial Portnoy's Complaint, the humorous and sexually explicit psychoanalytical monologue of ""a lust-ridden, mother-addicted young Jewish bachelor,"" filled with ""intimate, shameful detail, and coarse, abusive language.""
Roth is one of the most awarded U.S. writers of his generation: his books have twice received the National Book Award, twice the National Book Critics Circle award, and three times the PEN/Faulkner Award.",Novelist,"m,02xhgwq"
philipp_melanchthon,"Philipp Melanchthon, born Philipp Schwartzerdt, was a German reformer, collaborator with Martin Luther, the first systematic theologian of the Protestant Reformation, intellectual leader of the Lutheran Reformation, and an influential designer of educational systems. He stands next to Luther and Calvin as a reformer, theologian, and molder of Protestantism. Along with Luther, he is the primary founder of Lutheranism. They both denounced what they believed was the exaggerated cult of the saints, asserted justification by faith, and denounced the coercion of the conscience in the sacrament of penance by the Catholic Church, that they believed could not offer certainty of salvation. In unison they rejected transubstantiation, the belief that the bread from the Lord's Supper becomes Christ's body when consumed. Melanchthon made the distinction between law and gospel the central formula for Lutheran evangelical insight. By the ""law"", he meant God's requirements both in Old and New Testament; the ""gospel"" meant the free gift of grace through faith in Jesus Christ.",Astrologer,"m,025rxky"
rainer_maria_rilke,"René Karl Wilhelm Johann Josef Maria Rilke — better known as Rainer Maria Rilke — was a Bohemian-Austrian poet and novelist, ""widely recognized as one of the most lyrically intense German-language poets"", writing in both verse and highly lyrical prose. Several critics have described Rilke's work as inherently ""mystical"". His writings include one novel, several collections of poetry, and several volumes of correspondence in which he invokes haunting images that focus on the difficulty of communion with the ineffable in an age of disbelief, solitude, and profound anxiety. These deeply existential themes tend to position him as a transitional figure between the traditional and the modernist writers.
Rilke was born in the Austro-Hungarian Empire, travelled extensively throughout Europe, including Russia, Spain, Germany, France, Italy, and in his later years settled in Switzerland—settings that were key to the genesis and inspiration for many of his poems. While Rilke is most known for his contributions to German literature, over 400 poems were originally written in French and dedicated to the canton of Valais in Switzerland.",Novelist,"m,02xhgwq"
demosthenes,"Demosthenes was a prominent Greek statesman and orator of ancient Athens. His orations constitute a significant expression of contemporary Athenian intellectual prowess and provide an insight into the politics and culture of ancient Greece during the 4th century BC. Demosthenes learned rhetoric by studying the speeches of previous great orators. He delivered his first judicial speeches at the age of 20, in which he argued effectively to gain from his guardians what was left of his inheritance. For a time, Demosthenes made his living as a professional speech-writer and a lawyer, writing speeches for use in private legal suits.
Demosthenes grew interested in politics during his time as a logographer, and in 354 BC he gave his first public political speeches. He went on to devote his most productive years to opposing Macedon's expansion. He idealized his city and strove throughout his life to restore Athens's supremacy and motivate his compatriots against Philip II of Macedon. He sought to preserve his city's freedom and to establish an alliance against Macedon, in an unsuccessful attempt to impede Philip's plans to expand his influence southward by conquering all the Greek states.",Politician,"government,politician"
filippo_lippi,"Fra' Filippo Lippi, O.Carm., also called Lippo Lippi, was an Italian painter of the Quattrocento.",Painting Artist,"m,05qdh"
jacques_offenbach,"Jacques Offenbach was a German-born French composer, cellist and impresario of the romantic period. He is remembered for his nearly 100 operettas of the 1850s–1870s and his uncompleted opera The Tales of Hoffmann. He was a powerful influence on later composers of the operetta genre, particularly Johann Strauss, Jr. and Arthur Sullivan. His best-known works were continually revived during the 20th century, and many of his operettas continue to be staged in the 21st. The Tales of Hoffman remains part of the standard opera repertory.
Born in Cologne, the son of a synagogue cantor, Offenbach showed early musical talent. At the age of 14, he was accepted as a student at the Paris Conservatoire but found academic study unfulfilling and left after a year. From 1835 to 1855 he earned his living as a cellist, achieving international fame, and as a conductor. His ambition, however, was to compose comic pieces for the musical theatre. Finding the management of Paris's Opéra-Comique company uninterested in staging his works, in 1855 he leased a small theatre in the Champs-Élysées. There he presented a series of his own small-scale pieces, many of which became popular.",Composer,"music,composer"
jacques-louis_david,"Jacques-Louis David was an influential French painter in the Neoclassical style, considered to be the preeminent painter of the era. In the 1780s his cerebral brand of history painting marked a change in taste away from Rococo frivolity toward a classical austerity and severity, heightened feeling harmonizing with the moral climate of the final years of the Ancien Régime.
David later became an active supporter of the French Revolution and friend of Maximilien Robespierre, and was effectively a dictator of the arts under the French Republic. Imprisoned after Robespierre's fall from power, he aligned himself with yet another political regime upon his release, that of Napoleon I. It was at this time that he developed his Empire style, notable for its use of warm Venetian colours. After Napoleon's fall from power and the Bourbon revival, David exiled himself to Brussels, then in the United Kingdom of the Netherlands, where he remained until his death. David had a large number of pupils, making him the strongest influence in French art of the early 19th century, especially academic Salon painting.",Painting Artist,"m,05qdh"
friedrich_hayek,"Friedrich Hayek CH, born in Austria-Hungary as Friedrich August von Hayek and frequently referred to as F. A. Hayek, was an Austrian, later British, economist and philosopher best known for his defence of classical liberalism. Hayek shared the Nobel Memorial Prize in Economic Sciences for his ""pioneering work in the theory of money and economic fluctuations and ... penetrating analysis of the interdependence of economic, social and institutional phenomena"".
Hayek was a major political thinker of the twentieth century, and his account of how changing prices communicate information which enables individuals to co-ordinate their plans is widely regarded as an important achievement in economics.
Hayek served in World War I and said that his experience in the war and his desire to help avoid the mistakes that had led to the war led him to his career. Hayek lived in Austria, Great Britain, the United States and Germany, and became a British subject in 1938. He spent most of his academic life at the London School of Economics, the University of Chicago, and the University of Freiburg.",Economist,"m,0frz0"
eliel_saarinen,Gottlieb Eliel Saarinen was a Finnish architect known for his work with art deco buildings in the early years of the 20th century. He was the father of Eero Saarinen.,Architect,"architecture,architect"
leonard_bernstein,"Leonard Bernstein was an American composer, conductor, author, music lecturer, and pianist. He was among the first conductors born and educated in the United States of America to receive worldwide acclaim. According to music critic Donal Henahan, he was ""one of the most prodigiously talented and successful musicians in American history.""
His fame derived from his long tenure as the music director of the New York Philharmonic, from his conducting of concerts with most of the world's leading orchestras, and from his music for West Side Story, Peter Pan, Candide, Wonderful Town, On the Town and his own Mass.
Bernstein was the first conductor to give numerous television lectures on classical music, starting in 1954 and continuing until his death. He was a skilled pianist, often conducting piano concertos from the keyboard.
As a composer he wrote in many styles encompassing symphonic and orchestral music, ballet, film and theatre music, choral works, opera, chamber music and pieces for the piano. Many of his works are regularly performed around the world, although none has matched the tremendous popular and commercial success of West Side Story.",20th century classical Artist,"m,01wqlc"
moses_(michelangelo),"Moses was, according to the Hebrew Bible, a former Egyptian prince later turned prophet, religious leader and lawgiver, to whom the authorship of the Torah is traditionally attributed. Also called Moshe Rabbenu in Hebrew, he is the most important prophet in Judaism. He is also an important prophet in Christianity and Islam, as well as a number of other faiths.
The existence of Moses as well as the veracity of the Exodus story are disputed among archaeologists and Egyptologists, with experts in the field of biblical criticism citing logical inconsistencies, new archaeological evidence, historical evidence, and related origin myths in Canaanite culture. Other historians maintain that the biographical details and Egyptian background attributed to Moses imply the existence of a historical political and religious leader who was involved in the consolidation of the Hebrew tribes in Canaan towards the end of the Bronze Age.
According to the Book of Exodus, Moses was born in a time when his people, the Children of Israel, were increasing in numbers and the Egyptian Pharaoh was worried that they might ally with Egypt's enemies.",Prophet,"m,066dv"
edward_said,"Edward Wadie Said was a Palestinian American literary theorist and public intellectual who helped found the critical-theory field of postcolonialism. Born in Jerusalem in Mandatory Palestine to Palestinian parents resident in Egypt, he was an American citizen through his father. Said spent his childhood in Jerusalem and Cairo, where he attended elite British and American schools. Subsequently he left for the United States, where he obtained a bachelor's degree from Princeton and a doctorate in English literature from Harvard. Said then joined the faculty of Columbia University in 1963, where he became professor of English and comparative literature in 1991.
As a cultural critic, Said is best known for the 1978 book Orientalism. In it, he analyses the cultural representations that are the basis of Orientalism, a term he redefined to refer to the West's patronizing perceptions and depictions of Middle Eastern, Asian and North African societies—""the East"". He contended that Orientalist scholarship was, and remains, inextricably tied to the imperialist societies that produced it, which makes much of the work inherently political, servile to power, and thus intellectually suspect.",Professor,"m,016fly"
giambattista_vico,"Giovan Battista Vico was an Italian political philosopher, rhetorician, historian, and jurist. He criticized the expansion and development of modern rationalism and was an apologist of classical antiquity. Vico is best known for his magnum opus, the Scienza Nuova of 1725, often published in English as New Science.
Vico is a precursor of systemic and complexity thinking, as opposed to Cartesian analysis and other kinds of reductionism. He is also well known for noting that verum esse ipsum factum, a proposition that has been read as an early instance of constructivist epistemology.
Vico is often claimed to have inaugurated modern philosophy of history, although the term is not found in his text. While Vico was not, strictly speaking, a historicist, interest in him has often been driven by historicists.",Philosopher,"m,02h6fbs"
otto_von_bismarck,"Otto Eduard Leopold, Prince of Bismarck, Duke of Lauenburg, known as Otto von Bismarck, was a conservative Prussian statesman who dominated German and European affairs from the 1860s until 1890. In the 1860s he engineered a series of wars that unified the German states into a powerful German Empire under Prussian leadership. With that accomplished by 1871 he skillfully used balance of power diplomacy to preserve German hegemony in a Europe which, despite many disputes and war scares, remained at peace. For historian Eric Hobsbawm, it was Bismarck, who ""remained undisputed world champion at the game of multilateral diplomatic chess for almost twenty years after 1871, [and] devoted himself exclusively, and successfully, to maintaining peace between the powers.""
In 1862 King Wilhelm I appointed Bismarck as Minister President of Prussia, a post he would hold until 1890. He provoked three short, decisive wars against Denmark, Austria and France, aligning the smaller German states behind Prussia in defeating his arch-enemy France. In 1871 he formed the German Empire with himself as Chancellor, while retaining control of Prussia.",Statesman,"m,016fc2"
buster_keaton,"Joseph Frank ""Buster"" Keaton was an American actor, vaudevillian, comedian, filmmaker, stunt performer, and writer. He was best known for his silent films, in which his trademark was physical comedy with a consistently stoic, deadpan expression, earning him the nickname ""The Great Stone Face"".
Buster Keaton was recognized as the seventh-greatest director by Entertainment Weekly. In 1999, the American Film Institute ranked Keaton the 21st-greatest male star. Critic Roger Ebert wrote of Keaton's ""extraordinary period from 1920 to 1929, [when] he worked without interruption on a series of films that make him, arguably, the greatest actor-director in the history of the movies."" His career declined afterward with a dispiriting loss of his artistic independence when he was hired by MGM resulting in a crippling alcoholism that ruined his family life. However, he recovered in the 1940s, remarried and revived his career to a degree as an honored comic performer for the rest of his life, earning an Academy Honorary Award in 1958.
Orson Welles stated that Keaton's The General is ""the greatest comedy ever made, the greatest Civil War film ever made, and perhaps the greatest film ever made.""",Actor,"m,02hrh1q"
samuel_pierpont_langley,"Samuel Pierpont Langley was an American astronomer, physicist, inventor of the bolometer and pioneer of aviation. He attended Boston Latin School, graduated from English High School of Boston, was an assistant in the Harvard College Observatory, then moved to a job ostensibly as a professor of mathematics at the United States Naval Academy, but actually was sent there to restore the Academy's small observatory. In 1867, he became the director of the Allegheny Observatory and a professor of astronomy at the Western University of Pennsylvania, now known as the University of Pittsburgh, a post he kept until 1891 even while he became the third Secretary of the Smithsonian Institution in 1887. Langley was the founder of the Smithsonian Astrophysical Observatory.",Physicist,"m,05snw"
clara_barton,"Clarissa Harlowe ""Clara"" Barton was a pioneer nurse who founded the American Red Cross. In addition to being a hospital nurse, she worked as a teacher, patent clerk, and humanitarian. At a time when relatively few women worked outside the home, Barton built a career helping others. She was never married, as she knew the restrictions of a married woman at the time, but had a relationship with John J. Elwell. She was prominent as a nurse in the American Civil War.",Nurse,"m,0fczf"
marian_anderson,"Marian Anderson was an African-American contralto and one of the most celebrated singers of the twentieth century. Music critic Alan Blyth said: ""Her voice was a rich, vibrant contralto of intrinsic beauty."" Most of her singing career was spent performing in concert and recital in major music venues and with famous orchestras throughout the United States and Europe between 1925 and 1965. Although offered roles with many important European opera companies, Anderson declined, as she had no training in acting. She preferred to perform in concert and recital only. She did, however, perform opera arias within her concerts and recitals. She made many recordings that reflected her broad performance repertoire of everything from concert literature to lieder to opera to traditional American songs and spirituals. Between 1940 and 1965 the German-American pianist Franz Rupp was her permanent acompanist.
Anderson became an important figure in the struggle for black artists to overcome racial prejudice in the United States during the mid-twentieth century. In 1939, the Daughters of the American Revolution refused permission for Anderson to sing to an integrated audience in Constitution Hall.",Singer,"m,09l65"
shirley_jackson,"Shirley Hardie Jackson was an American author. She was a popular writer in her time, and her work has received increased attention from literary critics in recent years. She influenced Neil Gaiman, Stephen King, Nigel Kneale, and Richard Matheson.
She is best known for the short story ""The Lottery"", which suggests a secret, sinister underside to bucolic small-town America. In her critical biography of Jackson, Lenemaja Friedman notes that when ""The Lottery"" was published in the June 26, 1948, issue of The New Yorker, it received a response that ""no New Yorker story had ever received"". Hundreds of letters poured in that were characterized by, as Jackson put it, ""bewilderment, speculation, and old-fashioned abuse"". In the July 22, 1948, issue of the San Francisco Chronicle, Jackson offered the following in response to persistent queries from her readers about her intentions:
Explaining just what I had hoped the story to say is very difficult. I suppose, I hoped, by setting a particularly brutal ancient rite in the present and in my own village to shock the story's readers with a graphic dramatization of the pointless violence and general inhumanity in their own lives.",Novelist,"m,02xhgwq"
andrei_rublev_(film),Andrei Rublev is considered to be the greatest medieval Russian painter of Orthodox icons and frescoes.,Painting Artist,"m,05qdh"
franz_kafka,"Franz Kafka was a German-language writer of novels and short stories, regarded by critics as one of the most influential authors of the 20th century. Most of his works, such as ""Die Verwandlung"", Der Prozess, and Das Schloss, are filled with the themes and archetypes of alienation, physical and psychological brutality, parent–child conflict, characters on a terrifying quest, labyrinths of bureaucracy, and mystical transformations.
Kafka was born into a middle-class, German-speaking Jewish family in Prague, the capital of the Kingdom of Bohemia, then part of the Austro-Hungarian Empire. In his lifetime, most of the population of Prague spoke Czech, and the division between Czech- and German-speaking people was a tangible reality, as both groups were strengthening their national identity. The Jewish community often found itself in between the two sentiments, naturally raising questions about a place to which one belongs. Kafka himself was fluent in both languages, considering German his mother tongue.
Kafka trained as a lawyer and after completing his legal education, obtained employment with an insurance company. He began to write short stories in his spare time.",Novelist,"m,02xhgwq"
alfred_russel_wallace,"Alfred Russel Wallace OM FRS was a British naturalist, explorer, geographer, anthropologist, and biologist. He is best known for independently conceiving the theory of evolution through natural selection; his paper on the subject was jointly published with some of Charles Darwin's writings in 1858. This prompted Darwin to publish his own ideas in On the Origin of Species. Wallace did extensive fieldwork, first in the Amazon River basin and then in the Malay Archipelago, where he identified the faunal divide now termed the Wallace Line, which separates the Indonesian archipelago into two distinct parts: a western portion in which the animals are largely of Asian origin, and an eastern portion where the fauna reflect Australasia.
He was considered the 19th century's leading expert on the geographical distribution of animal species and is sometimes called the ""father of biogeography"". Wallace was one of the leading evolutionary thinkers of the 19th century and made many other contributions to the development of evolutionary theory besides being co-discoverer of natural selection.",Evolutionary Biologist,"m,02h65pn"
alexander_pope,"Alexander Pope was an 18th-century English poet, best known for his satirical verse and for his translation of Homer. Famous for his use of the heroic couplet, he is the third-most frequently quoted writer in The Oxford Dictionary of Quotations, after Shakespeare and Tennyson.",Poet,"m,05z96"
anthony_van_dyck,"Sir Anthony van Dyck was a Flemish Baroque artist who became the leading court painter in England, after enjoying great success in Italy and Flanders. He is most famous for his portraits of Charles I of England and his family and court, painted with a relaxed elegance that was to be the dominant influence on English portrait-painting for the next 150 years. He also painted biblical and mythological subjects, displayed outstanding facility as a draftsman, and was an important innovator in watercolour and etching.",Painting Artist,"m,05qdh"
zeno_of_elea,"Zeno of Elea was a pre-Socratic Greek philosopher of Magna Graecia and a member of the Eleatic School founded by Parmenides. Aristotle called him the inventor of the dialectic. He is best known for his paradoxes, which Bertrand Russell has described as ""immeasurably subtle and profound"".",Philosopher,"m,02h6fbs"
george_grosz,George Grosz was a German artist known especially for his caricatural drawings of Berlin life in the 1920s. He was a prominent member of the Berlin Dada and New Objectivity group during the Weimar Republic before he emigrated to the United States in 1933.,Painting Artist,"m,05qdh"
benedetto_croce,"Benedetto Croce was an Italian idealist philosopher, and occasionally also politician. He wrote on numerous topics, including philosophy, history, methodology of history writing and aesthetics. He was a prominent liberal, although he opposed laissez-faire free trade, and had considerable influence on other prominent Italian intellectuals including both Marxist Antonio Gramsci and fascist Giovanni Gentile.
He was President of PEN International, the worldwide writers' association from 1949 until 1952.
According an article of 2012 on Foreign Affairs, Benedetto Croce is considered among the most modern thinkers from those of the 20th century, along with intellectuals like Isaiah Berlin, Francis Fukuyama and Leon Trotsky.",Philosopher,"m,02h6fbs"
cupid,"Bryson Bernard, better known by his stage name Cupid is a R&B singer born and raised in Lafayette, Louisiana. He released four albums and his biggest hit is the single ""Cupid Shuffle"".",Pop Artist,"m,064t9"
baruch_spinoza,"Baruch Spinoza was a Dutch philosopher. The breadth and importance of Spinoza's work was not fully realized until many years after his death. By laying the groundwork for the 18th-century Enlightenment and modern biblical criticism, including modern conceptions of the self and, arguably, the universe, he came to be considered one of the great rationalists of 17th-century philosophy. His magnum opus, the posthumous Ethics, in which he opposed Descartes's mind–body dualism, has earned him recognition as one of Western philosophy's most important thinkers. In the Ethics, ""Spinoza wrote the last indisputable Latin masterpiece, and one in which the refined conceptions of medieval philosophy are finally turned against themselves and destroyed entirely."" Philosopher Georg Wilhelm Friedrich Hegel said of all contemporary philosophers, ""You are either a Spinozist or not a philosopher at all.""
Spinoza's given name in different languages is Hebrew: ברוך שפינוזה‎ Baruch Spinoza, Portuguese: Benedito or Bento de Espinosa and Latin: Benedictus de Spinoza; in all these languages, the given name means ""the Blessed"". Spinoza was raised in the Portuguese Jewish community in Amsterdam.",Philosopher,"m,02h6fbs"
robert_lowie,"Robert Harry Lowie was an Austrian-born American anthropologist. An expert on North American Indians, he was instrumental in the development of modern anthropology.",Anthropologist,"m,0q410p1"
saul,"According to the Hebrew Bible, Saul was the first king of a united Kingdom of Israel and Judah. He would have lived circa 1082 BC–1010 BC, was anointed by the prophet Samuel and reigned from Gibeah. He fell on his sword to avoid capture in the battle against the Philistines at Mount Gilboa, during which three of his sons were also killed. The succession to his throne was contested by Ish-bosheth, his only surviving son, and his son-in-law David, who eventually prevailed.
The oldest accounts of Saul's life and reign are found in the Books of Samuel in the Hebrew Bible. A similar, yet different account is given in the Qur'an. The historicity of Saul's kingdom has been called into question by historians.",Monarch,"royalty,monarch"
queen_of_sheba,"The Queen of Sheba is a queen who appears in the Bible. The tale of her visit to King Solomon has undergone extensive Jewish, Arabian and Ethiopian elaborations, and has become the subject of one of the most widespread and fertile cycles of legends in the Orient.",Person Or Being In Fiction,"fictional universe,person in fiction"
john_peter_zenger,"John Peter Zenger was a German American printer, publisher, editor, and journalist in New York City. Zenger printed The New York Weekly Journal. He was a defendant in a landmark legal case in American jurisprudence, known as The Zenger Trial. His lawyers, Andrew Hamilton and William Smith, Sr., successfully argued that truth is a defense against charges of libel.
In late 1733, Zenger began printing The New York Weekly Journal, in which he voiced opinions critical of the colonial governor, William Cosby. On November 17, 1734, On Cosby's orders, the sheriff arrested Zenger. After a grand jury refused to indict him, the attorney general Richard Bradley charged him with libel in August of 1735.",Journalist,"m,0d8qb"
leon_trotsky,"Leon Trotsky was a Marxist revolutionary and theorist, Soviet politician, and the founder and first leader of the Red Army.
Trotsky initially supported the Menshevik Internationalists faction of the Russian Social Democratic Labour Party. He joined the Bolsheviks immediately prior to the 1917 October Revolution, and eventually became a leader within the Russian Social Democratic Labour Party. During the early days of the RSFSR and the Soviet Union, he served first as People's Commissar for Foreign Affairs and later as the founder and commander of the Red Army with the title of People's Commissar of Military and Naval Affairs. He was a major figure in the Bolshevik victory in the Russian Civil War. He also became one of the first members of the Politburo.
After leading a failed struggle of the Left Opposition against the policies and rise of Joseph Stalin in the 1920s and against the increasing role of bureaucracy in the Soviet Union, Trotsky was removed from power, expelled from the Communist Party, and finally deported from the Soviet Union in 1929.",Military Commander,"military,military commander"
david_mamet,"David Alan Mamet is an American playwright, essayist, screenwriter, and film director.
As a playwright, Mamet has won a Pulitzer Prize and received Tony nominations for Glengarry Glen Ross and Speed-the-Plow. As a screenwriter, he has received Oscar nominations for The Verdict and Wag the Dog. Mamet's books include: The Old Religion, a novel about the lynching of Leo Frank; Five Cities of Refuge: Weekly Reflections on Genesis, Exodus, Leviticus, Numbers and Deuteronomy, a Torah commentary with Rabbi Lawrence Kushner; The Wicked Son, a study of Jewish self-hatred and antisemitism; Bambi vs. Godzilla, a commentary on the movie business; The Secret Knowledge: On the Dismantling of American Culture, a commentary on cultural and political issues; and Three War Stories, a trio of novellas about the physical and psychological effects of war.
Feature films which Mamet both wrote and directed include Redbelt, The Spanish Prisoner, House of Games, Spartan, Heist, State and Main, The Winslow Boy, Oleanna, Homicide, Things Change, and most recently the 2013 HBO film Phil Spector, starring Al Pacino as Spector with Helen Mirren and Jeffrey Tambor.",Dramatist,"m,02hv44 "
