Answer,Description,Specific Type,General Type
fourteen_points,"The ""Fourteen Points"" was a statement given on January 8, 1918 by United States President Woodrow Wilson declaring that World War I was being fought for a moral cause and calling for postwar peace in Europe. Europeans generally welcomed Wilson's intervention, but his main Allied colleagues were skeptical of the applicability of Wilsonian idealism.
The U.S. had joined the Allies in fighting the Central Powers on April 6, 1917. Its entry into the war had in part been due to Germany's resumption of submarine warfare against merchant ships trading with France and Britain. However, Wilson wanted to avoid the U.S.'s involvement in the long-standing European tensions between the great powers; if America was going to fight, he would try to unlink the war from nationalistic disputes or ambitions. The need for moral aims was made more important, when after the fall of the Russian Regime, the Bolsheviks disclosed secret treaties made between the allies.",Presented work,"event,presented work"
cyclopentadiene,"Cyclopentadiene is an organic compound with the formula C₅H₆. This colorless liquid has a strong and unpleasant odor. At room temperature, this cyclic diene dimerizes over the course of hours to give dicyclopentadiene via a Diels–Alder reaction. This dimer can be restored by heating to give the monomer.
The compound is mainly used for the production of cyclopentene and its derivatives. It is popularly used as a precursor to the cyclopentadienyl ligand in cyclopentadienyl complexes in organometallic chemistry.",Chemical Compound,"chemistry,chemical compound"
ming_dynasty,"The Ming dynasty, also Empire of the Great Ming, was the ruling dynasty of China for 276 years following the collapse of the Mongol-led Yuan dynasty. The Ming, described by some as ""one of the greatest eras of orderly government and social stability in human history,"" was the last dynasty in China ruled by ethnic Han Chinese. Although the primary capital of Beijing fell in 1644 to a rebellion led by Li Zicheng, regimes loyal to the Ming throne – collectively called the Southern Ming – survived until 1662.
The Hongwu Emperor attempted to create a society of self-sufficient rural communities ordered in a rigid, immobile system that would guarantee and support a permanent class of soldiers for his dynasty: the empire's standing army exceeded one million troops and the navy's dockyards in Nanjing were the largest in the world. He also took great care breaking the power of the court eunuchs and unrelated magnates, enfeoffing his many sons throughout China and attempting to guide these princes through the Huang Ming Zu Xun, a set of published dynastic instructions.",Royal line,"royalty,royal line"
pancreas,"The pancreas is a glandular organ in the digestive system and endocrine system of vertebrates. In humans, it is located in the abdominal cavity behind the stomach. It is an endocrine gland producing several important hormones, including insulin, glucagon, somatostatin, and pancreatic polypeptide which circulate in the blood. The pancreas is also a digestive organ, secreting pancreatic juice containing digestive enzymes that assist digestion and absorption of nutrients in the small intestine. These enzymes help to further break down the carbohydrates, proteins, and lipids in the chyme.",Anatomical structure,"medicine,anatomical structure"
david_(michelangelo),"David is a masterpiece of Renaissance sculpture created between 1501 and 1504, by Italian sculptor, painter, architect, poet Michelangelo.
It is a 4.34-metre, 5.17-metre with the base marble statue of a standing male nude. The statue represents the Biblical hero David, a favoured subject in the art of Florence. Originally commissioned as one of a series of statues of prophets to be positioned along the roofline of the east end of Florence Cathedral, the statue was placed instead in a public square, outside the Palazzo della Signoria, the seat of civic government in Florence, where it was unveiled on the 8th of September, 1504.
Because of the nature of the hero it represented, the statue soon came to symbolize the defense of civil liberties embodied in the Republic of Florence, an independent city-state threatened on all sides by more powerful rival states and by the hegemony of the Medici family. The eyes of David, with a warning glare, were turned towards Rome. The statue was moved to the Galleria dell'Accademia, Florence, in 1873, and later replaced at the original location by a replica.",Italian Renaissance Artwork,"m,01vrkm"
the_cherry_orchard,"The Cherry Orchard is the last play by Russian playwright Anton Chekhov. It opened at the Moscow Art Theatre on 17 January 1904 in a production directed by Constantin Stanislavski. Although Chekhov intended it as a comedy, and it does contain some elements of farce, Stanislavski insisted on directing the play as a tragedy. Since this initial production, directors have had to contend with the dual nature of the play. The play is often identified on the short list of the three or four outstanding plays written by Chekhov along with The Seagull and The Three Sisters.
The play concerns an aristocratic Russian woman and her family as they return to their family estate just before it is auctioned to pay the mortgage. While presented with options to save the estate, the family essentially does nothing and the play ends with the sale of the estate to the son of a former serf; the family leaves to the sound of the cherry orchard being cut down. The story presents themes of cultural futility – both the futile attempts of the aristocracy to maintain its status and of the bourgeoisie to find meaning in its newfound materialism.",Play,"theater,play"
leyden_jar,"A Leyden jar, or Leiden jar, is a device that ""stores"" static electricity between two electrodes on the inside and outside of a glass jar. It was the original form of a capacitor.
It was invented independently by German cleric Ewald Georg von Kleist on 11 October 1745 and by Dutch scientist Pieter van Musschenbroek of Leiden in 1745–1746. The invention was named for the city.
The Leyden jar was used to conduct many early experiments in electricity, and its discovery was of fundamental importance in the study of electricity. Previously, researchers had to resort to insulated conductors of large dimensions to store a charge. The Leyden jar provided a much more compact alternative.
A famous use of the Leyden jar was Benjamin Franklin's kite experiment, which gave rise to the phrase ""capture lightning in a bottle"".",Invention,"law,invention"
lagrangian_point,The Lagrangian points are the five positions in an orbital configuration where a small object affected only by gravity can maintain a stable orbital configuration with respect to two larger objects. The Lagrange points mark positions where the combined gravitational pull of the two large masses provides precisely the centripetal force required to orbit with them.,Orbit Type,"astronomy,orbit type"
trinitrotoluene,"Trinitrotoluene, or more specifically 2,4,6-trinitrotoluene, is a chemical compound with the formula C₆H₂(NO₂)₃CH₃. This yellow-colored solid is sometimes used as a reagent in chemical synthesis, but it is best known as a useful explosive material with convenient handling properties. The explosive yield of TNT is considered to be the standard measure of strength of bombs and other explosives. In chemistry, TNT is used to generate charge transfer salts.",Chemical Compound,"chemistry,chemical compound"
interferon,"Interferons are proteins made and released by host cells in response to the presence of pathogens, such as viruses, bacteria, parasites, or tumor cells. In a typical scenario, a virus-infected cell will release interferons causing nearby cells to ramp up their anti-viral defenses.
IFNs belong to the large class of proteins known as cytokines, molecules used for communication between cells to trigger the protective defenses of the immune system that help eradicate pathogens. Interferons are named for their ability to ""interfere"" with viral replication by protecting cells from virus infection. IFNs also have other functions: they activate immune cells, such as natural killer cells and macrophages; they increase host defenses by up-regulating antigen presentation by virtue of increasing the expression of major histocompatibility complex antigens. Certain symptoms of infections, such as fever, muscle pain and ""flu-like symptoms"", are also caused by the production of IFNs and other cytokines.
More than twenty distinct IFN genes and proteins have been identified in animals, including humans. They are typically divided among three classes: Type I IFN, Type II IFN, and Type III IFN.",Drug,"medicine,drug"
paramagnetism,"Paramagnetism is a form of magnetism whereby certain materials are attracted by an externally applied magnetic field, and form internal, induced magnetic fields in the direction of the applied magnetic field. In contrast with this behavior, diamagnetic materials are repelled by magnetic fields and form induced magnetic fields in the direction opposite to that of the applied magnetic field. Paramagnetic materials include most chemical elements and some compounds; they have a relative magnetic permeability greater than or equal to 1 and hence are attracted to magnetic fields. The magnetic moment induced by the applied field is linear in the field strength and rather weak. It typically requires a sensitive analytical balance to detect the effect and modern measurements on paramagnetic materials are often conducted with a SQUID magnetometer.
Paramagnetic materials have a small, positive susceptibility to magnetic fields. These materials are slightly attracted by a magnetic field and the material does not retain the magnetic properties when the external field is removed.",,
cavendish_laboratory,"The Cavendish Laboratory is the Department of Physics at the University of Cambridge, and is part of the university's School of Physical Sciences. It was opened in 1874 as a teaching laboratory.
The Department is named to commemorate British chemist and physicist Henry Cavendish for contributions to science and his relative William Cavendish, 7th Duke of Devonshire, who served as Chancellor of the University and donated money for the construction of the laboratory. Professor James Clerk Maxwell, the developer of electromagnetic theory, was a founder of the lab and became the first Cavendish Professor of Physics.
The Duke of Devonshire had given to Maxwell, as Head of the Laboratory, the manuscripts of Henry Cavendish's unpublished Electrical Works. The editing and publishing of these was Maxwell's main scientific work while he was at the laboratory. Cavendish's work aroused Maxwell's intense admiration and he decided to call the Laboratory the Cavendish Laboratory and thus to commemorate both the Duke and Henry Cavendish.
As of 2011, 29 Cavendish researchers have won Nobel Prizes.",Building,"architecture,building"
dna,"Deoxyribonucleic acid is a molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses. DNA is a nucleic acid; alongside proteins and carbohydrates, nucleic acids compose the three major macromolecules essential for all known forms of life. Most DNA molecules consist of two biopolymer strands coiled around each other to form a double helix. The two DNA strands are known as polynucleotides since they are composed of simpler units called nucleotides. Each nucleotide is composed of a nitrogen-containing nucleobase—either guanine, adenine, thymine, or cytosine —as well as a monosaccharide sugar called deoxyribose and a phosphate group. The nucleotides are joined to one another in a chain by covalent bonds between the sugar of one nucleotide and the phosphate of the next, resulting in an alternating sugar-phosphate backbone. According to base pairing rules, hydrogen bonds bind the nitrogenous bases of the two separate polynucleotide strands to make double-stranded DNA.
DNA is well-suited for biological information storage.",Chemical Compound,"chemistry,chemical compound"
phototropism,"Phototropism is the growth of organisms in response to light. It is most often observed in plants, but can also occur in other organisms such as fungi. The cells on the plant that are farthest from the light have a chemical called auxin that reacts when phototropism occurs. This causes the plant to have elongated cells on the farthest side from the light. Phototropism is one of the many plant tropisms or movements which respond to external stimuli. Growth towards a light source is called positive phototropism, while growth away from light is called negative phototropism. Most plant shoots exhibit positive phototropism, and rearrange their chloroplasts in the leaves to maximize photosynthetic energy and promote growth. Roots usually exhibit negative phototropism, although gravitropism may play a larger role in root behavior and growth. Some vine shoot tips exhibit negative phototropism, which allows them to grow towards dark, solid objects and climb them. The combination of phototropism and gravitropism allow plants to grow in the correct direction.",,
australopithecus_africanus,"Australopithecus africanus was an early hominid, an australopithecine, who lived between ~3.03 and 2.04 million years ago in the later Pliocene and early Pleistocene. In common with the older Australopithecus afarensis, Au. africanus was of slender build, or gracile, and was thought to have been a direct ancestor of modern humans. Fossil remains indicate that Au. africanus was significantly more like modern humans than Au. afarensis, with a more human-like cranium permitting a larger brain and more humanoid facial features. Au. africanus has been found at only four sites in southern Africa — Taung, Sterkfontein, Makapansgat and Gladysvale.",Organism Classification,"biology,organism classification"
negative_index_metamaterials,"Negative index metamaterial or negative index material is an artificial structure where the refractive index has a negative value over some frequency range. This does not occur in any known natural materials, and thus is only achievable with engineered structures known as metamaterials. Metamaterial refers broadly to any synthetic material with unusual refractive properties.
NIMs are constructed of the same manufactured basic parts called unit cells. For example, the unit cells of the first NIMs were constructed from circuit board material, or in other words, wires and dielectrics. And in general, these artificially constructed cells are stacked or planar and configured in a particular repeated pattern to compose the individual NIM material. For instance, the unit cells of the first NIMs were stacked horizontally and vertically, resulting in a pattern that was repeated and intended.
Specifications for the response of each unit cell are predetermined prior to construction and are based on the intended or desired response of the entire, newly constructed, material. In other words, each cell is individually tuned to respond in a certain way, based on the desired output of the NIM.",,
holi,"Holi is a spring festival also known as the festival of colours or the festival of love. It is an ancient Hindu religious festival which has become popular with non-Hindus in many parts of South Asia, as well as people of other communities outside Asia.
It is primarily observed in India, Nepal, and other regions of the world with significant populations of Hindus or people of Indian origin. The festival has, in recent times, spread to parts of Europe and North America as a spring celebration of love, frolic, and colours.
Holi celebrations start with a Holika bonfire on the night before Holi where people gather, sing and dance. The next morning is a free-for-all carnival of colours, where participants play, chase and colour each other with dry powder and coloured water, with some carrying water guns and coloured water-filled balloons for their water fight. Anyone and everyone is fair game, friend or stranger, rich or poor, man or woman, children and elders. The frolic and fight with colours occurs in the open streets, open parks, outside temples and buildings. Groups carry drums and musical instruments, go from place to place, sing and dance.",Holiday,"time,holiday"
sakhalin,"Sakhalin is a large Russian island in the North Pacific Ocean, lying between 45°50' and 54°24' N. It is Russia's largest island, and is administered as part of Sakhalin Oblast. Sakhalin, which is about one fifth the size of Japan, is just off the east coast of Russia, and just north of Japan.
The indigenous peoples of the island are the Ainu, Oroks and Nivkhs. Sakhalin has been claimed by both Russia and Japan over the course of the 19th and 20th centuries. This has led to bitter disputes between the two countries over control of the island. Russia seized the island from the Japanese near the end of World War II. Most Ainu moved to Hokkaidō when the Japanese were displaced from the island in 1949.",Geographical Feature,"geography,geographical feature"
the_hollow_men,"""The Hollow Men"" is a poem by T. S. Eliot. Its themes are, like many of Eliot's poems, overlapping and fragmentary, but it is recognized to be concerned most with post-World War I Europe under the Treaty of Versailles, the difficulty of hope and religious conversion, and, as some critics argue, Eliot's own failed marriage. The poem is divided into five parts and consists of 98 lines of which the last four are ""probably the most quoted lines of any 20th-century poet writing in English"".",Poem,"book,poem"
fitness_(biology),"Fitness is a central idea in evolutionary theory. It can be defined either with respect to a genotype or to a phenotype in a given environment. In either case, it describes the ability to both survive and reproduce, and is equal to the average contribution to the gene pool of the next generation that is made by an average individual of the specified genotype or phenotype. The term ""Darwinian fitness"" is often used to make clear the distinction with physical fitness. If differences between alleles of a given gene affect Darwinian fitness, then the frequencies of the alleles will change across generations; the alleles with higher fitness become more common. This process is called natural selection.
An individual's fitness is manifested through its phenotype. The phenotype is affected by the developmental environment as well as by genes, and the fitness of a given phenotype can be different in different environments. The fitnesses of different individuals with the same genotype are therefore not necessarily equal.",Media genre,"media common,media genre"
nitric_oxide,"Nitric oxide, or nitrogen oxide, also known as nitrogen monoxide, is a molecule with chemical formula NO. It is a free radical and is an important intermediate in the chemical industry. Nitric oxide is a by-product of combustion of substances in the air, as in automobile engines, fossil fuel power plants, and is produced naturally during the electrical discharges of lightning in thunderstorms.
In mammals including humans, NO is an important cellular signaling molecule involved in many physiological and pathological processes. It is a powerful vasodilator with a short half-life of a few seconds in the blood. Long-known pharmaceuticals such as nitroglycerine and amyl nitrite were found to be be precursors to nitric oxide more than a century after their first use in medicine.
Low levels of nitric oxide production are important in protecting organs such as the liver from ischemic damage.
Nitric oxide should not be confused with nitrous oxide, an anaesthetic and greenhouse gas, or with nitrogen dioxide, a brown toxic gas and a major air pollutant. However, nitric oxide is rapidly oxidised in air to nitrogen dioxide.",Chemical Compound,"chemistry,chemical compound"
