search,found,file num
rise_and_fall_of_the_city_of_mahagonny,Rise and Fall of the City of Mahagonny,3
alkaloid,Alkaloid,3
archbishop_of_canterbury,Archbishop of Canterbury,3
antibody,Antibody,3
alessandro_scarlatti,Alessandro Scarlatti,3
andhra_pradesh,Andhra Pradesh,3
antidepressant,Antidepressant,3
auger_effect,Auger effect,3
alberto_giacometti,Alberto Giacometti,3
albrecht_altdorfer,Albrecht Altdorfer,3
anton_chekhov,Anton Chekhov,3
apoptosis,Apoptosis,3
adenylate_cyclase,Adenylate cyclase,3
alexander_kerensky,Alexander Kerensky,3
agent_orange,Agent Orange,3
aegis,Aegis,3
ajanta_caves,Ajanta Caves,3
optical_aberration,Optical aberration,3
aspartame,Aspartame,3
asexual_reproduction,Asexual reproduction,3
alkene,Alkene,3
alkyne,Alkyne,3
ames_test,Ames test,3
anthropic_principle,Anthropic principle,3
angular_momentum,Angular momentum,3
artemis,Artemis,3
albinism,Albinism,3
archaeopteryx,Archaeopteryx,3
anubis,Anubis,3
arthur_jensen,Arthur Jensen,3
alpha_helix,Alpha helix,4
amu_darya,Amu Darya,4
arcturus,Arcturus,4
a_doll's_house,A Doll's House,4
alien_and_sedition_acts,Alien and Sedition Acts,4
a._e._housman,A. E. Housman,4
athanasius_of_alexandria,Athanasius of Alexandria,4
agar,Agar,4
antioxidant,Antioxidant,4
bonn,Bonn,4
berlin,Berlin,4
beryllium,Beryllium,4
black_sea,Black Sea,4
branchiopoda,Branchiopoda,4
baruch_spinoza,Baruch Spinoza,4
bryozoa,Bryozoa,4
symphony_no._9_(beethoven),Symphony No. 9 (Beethoven),4
belarus,Belarus,4
belize,Belize,4
benin,Benin,4
bosnia_and_herzegovina,Bosnia and Herzegovina,4
botswana,Botswana,4
british_virgin_islands,British Virgin Islands,4
geography_of_bosnia_and_herzegovina,Geography of Bosnia and Herzegovina,4
geography_of_bulgaria,Geography of Bulgaria,4
berlin_wall,Berlin Wall,4
boron,Boron,4
bromine,Bromine,4
barium,Barium,4
bavaria,Bavaria,4
battle_of_bosworth_field,Battle of Bosworth Field,4
bauhaus,Bauhaus,4
beowulf,Beowulf,4
benjamin_disraeli,Benjamin Disraeli,5
bodhisattva,Bodhisattva,5
book_of_mormon,Book of Mormon,5
battle_of_blenheim,Battle of Blenheim,5
baldr,Baldr,5
bragi,Bragi,5
blaise_pascal,Blaise Pascal,5
bone,Bone,5
boiling_point,Boiling point,5
bali,Bali,5
bertrand_russell,Bertrand Russell,5
bacteriophage,Bacteriophage,5
barnard's_star,Barnard's Star,5
bassoon,Bassoon,5
berthe_morisot,Berthe Morisot,5
baptism,Baptism,5
book_of_joshua,Book of Joshua,5
book_of_daniel,Book of Daniel,5
boomerang,Boomerang,5
book_of_jeremiah,Book of Jeremiah,5
book_of_isaiah,Book of Isaiah,5
buffer_overflow,Buffer overflow,5
book_of_numbers,Book of Numbers,5
book_of_esther,Book of Esther,5
book_of_job,Book of Job,5
book_of_lamentations,Book of Lamentations,5
book_of_ezekiel,Book of Ezekiel,5
bcs_theory,BCS theory,6
brownian_motion,Brownian motion,6
book_of_jonah,Book of Jonah,6
bacterial_conjugation,Bacterial conjugation,6
borneo,Borneo,6
bipolar_disorder,Bipolar disorder,6
babur,Babur,6
bernard_of_clairvaux,Bernard of Clairvaux,6
baryon,Baryon,6
beta-lactamase,Beta-lactamase,6
battle_of_agincourt,Battle of Agincourt,6
bronze_age,Bronze Age,6
black_hole,Black hole,6
beta_decay,Beta decay,6
boris_pasternak,Boris Pasternak,6
bankruptcy,Bankruptcy,6
bessel_function,Bessel function,6
plague_(disease),Plague (disease),6
body_mass_index,Body mass index,6
barry_goldwater,Barry Goldwater,6
battle_of_marathon,Battle of Marathon,6
battle_of_gettysburg,Battle of Gettysburg,6
b._f._skinner,B. F. Skinner,6
beta_sheet,Beta sheet,6
ben_nevis,Ben Nevis,6
book_of_common_prayer,Book of Common Prayer,6
battle_of_actium,Battle of Actium,7
zebrafish,Zebrafish,7
belfast,Belfast,7
brigham_young,Brigham Young,7
chordate,Chordate,7
common_law,Common law,7
copyright,Copyright,7
chemical_equilibrium,Chemical equilibrium,7
the_consolation_of_philosophy,The Consolation of Philosophy,7
charlemagne,Charlemagne,7
carbon_nanotube,Carbon nanotube,7
geography_of_chad,Geography of Chad,7
colloid,Colloid,7
inflation_(cosmology),Inflation (cosmology),7
colorado,Colorado,7
carboniferous,Carboniferous,7
comoros,Comoros,7
columbia_river,Columbia River,7
capitalism,Capitalism,7
geography_of_cambodia,Geography of Cambodia,7
cameroon,Cameroon,7
central_african_republic,Central African Republic,7
chile,Chile,7
coral_sea_islands,Coral Sea Islands,7
costa_rica,Costa Rica,7
geography_of_ivory_coast,Geography of Ivory Coast,7
croatia,Croatia,7
cyprus,Cyprus,8
cretaceous,Cretaceous,8
christopher_columbus,Christopher Columbus,8
combustion,Combustion,8
channel_islands,Channel Islands,8
cornwall,Cornwall,8
caspar_david_friedrich,Caspar David Friedrich,8
consciousness,Consciousness,8
chlorine,Chlorine,8
calcium,Calcium,8
cadmium,Cadmium,8
claude_shannon,Claude Shannon,8
cervix,Cervix,8
compiler,Compiler,8
christopher_marlowe,Christopher Marlowe,8
casey_at_the_bat,Casey at the Bat,8
confucianism,Confucianism,8
confucius,Confucius,8
cardiff,Cardiff,8
charles_dickens,Charles Dickens,8
carbon_dioxide,Carbon dioxide,8
catalysis,Catalysis,8
carbohydrate,Carbohydrate,8
circe,Circe,8
corundum,Corundum,8
continental_drift,Continental drift,8
collagen,Collagen,8
cno_cycle,CNO cycle,8
canonization,Canonization,8
carboxylic_acid,Carboxylic acid,8
charles_sanders_peirce,Charles Sanders Peirce,9
curl_(mathematics),Curl (mathematics),9
carbon_monoxide,Carbon monoxide,9
claudius,Claudius,9
calvin_coolidge,Calvin Coolidge,9
chinese_room,Chinese room,9
claudio_monteverdi,Claudio Monteverdi,9
canadian_shield,Canadian Shield,9
cell_nucleus,Cell nucleus,9
claude_debussy,Claude Debussy,9
cairo,Cairo,9
chaos_theory,Chaos theory,9
cell_wall,Cell wall,9
fire_(classical_element),Fire (classical element),9
chromatography,Chromatography,9
council_of_trent,Council of Trent,9
chloroplast,Chloroplast,9
cygnus_(constellation),Cygnus (constellation),9
clarinet,Clarinet,9
cholesterol,Cholesterol,9
chromosome,Chromosome,9
charles_martel,Charles Martel,9
cosmological_argument,Cosmological argument,9
cassandra,Cassandra,9
celts,Celts,9
claude_monet,Claude Monet,9
carthage,Carthage,9
cello,Cello,9
crete,Crete,9
cnidaria,Cnidaria,9
conservative_judaism,Conservative Judaism,9
candide,Candide,9
cape_town,Cape Town,9
coyote,Coyote,9
garbage_collection_(computer_science),Garbage collection (computer science),9
clitic,Clitic,9
cytosol,Cytosol,9
charge-coupled_device,Charge-coupled device,10
chandrasekhar_limit,Chandrasekhar limit,10
citric_acid_cycle,Citric acid cycle,10
cache_(computing),Cache (computing),10
caligula,Caligula,10
chiang_kai-shek,Chiang Kai-shek,10
concordat_of_worms,Concordat of Worms,10
caffeine,Caffeine,10
chicago,Chicago,10
cellulose,Cellulose,10
column,Column,10
chromatin,Chromatin,10
council_of_chalcedon,Council of Chalcedon,10
chlorophyll,Chlorophyll,10
cyclic_adenosine_monophosphate,Cyclic adenosine monophosphate,10
chagas_disease,Chagas disease,10
christiaan_barnard,Christiaan Barnard,10
caravaggio,Caravaggio,10
cannon,Cannon,10
chymotrypsin,Chymotrypsin,10
centromere,Centromere,10
casablanca,Casablanca,10
cogito_ergo_sum,Cogito ergo sum,10
cosmic_microwave_background,Cosmic microwave background,10
hanukkah,Hanukkah,10
color_blindness,Color blindness,10
chemotaxis,Chemotaxis,10
charles_i_of_england,Charles I of England,10
camille_pissarro,Camille Pissarro,10
cold_fusion,Cold fusion,10
charles_evans_hughes,Charles Evans Hughes,11
centrifugal_force_(rotating_reference_frame),Centrifugal force (rotating reference frame),11
centripetal_force,Centripetal force,11
camelot,Camelot,11
carl_rogers,Carl Rogers,11
casimir_effect,Casimir effect,11
cholera,Cholera,11
cerebrospinal_fluid,Cerebrospinal fluid,11
council_of_constance,Council of Constance,11
charles_mingus,Charles Mingus,11
centriole,Centriole,11
creation_science,Creation science,11
coriolis_effect,Coriolis effect,11
church_of_the_holy_sepulchre,Church of the Holy Sepulchre,11
civilian_conservation_corps,Civilian Conservation Corps,11
corona,Corona,11
dracula,Dracula,11
david_hume,David Hume,11
delphi,Delphi,11
dna,DNA,11
dalai_lama,Dalai Lama,11
dante_alighieri,Dante Alighieri,11
dave_brubeck,Dave Brubeck,11
daniel_defoe,Daniel Defoe,11
democritus,Democritus,12
demeter,Demeter,12
don_quixote,Don Quixote,12
dada,Dada,12
diode,Diode,12
daedalus,Daedalus,12
distillation,Distillation,12
david_hilbert,David Hilbert,12
delft,Delft,12
diamagnetism,Diamagnetism,12
divergence,Divergence,12
david_mamet,David Mamet,12
dipole,Dipole,12
dative_case,Dative case,12
decibel,Decibel,12
dodo,Dodo,12
developmental_biology,Developmental biology,12
denaturation_(biochemistry),Denaturation (biochemistry),12
david_ricardo,David Ricardo,12
"arthur_wellesley,_1st_duke_of_wellington","Arthur Wellesley, 1st Duke of Wellington",12
diagnostic_and_statistical_manual_of_mental_disorders,Diagnostic and Statistical Manual of Mental Disorders,12
dar_es_salaam,Dar es Salaam,12
dublin,Dublin,12
dmitri_shostakovich,Dmitri Shostakovich,12
deuterium,Deuterium,12
dead_sea,Dead Sea,12
dragon,Dragon,12
book_of_deuteronomy,Book of Deuteronomy,12
david,David,12
diocletian,Diocletian,12
deism,Deism,12
dyson_sphere,Dyson sphere,12
diffraction,Diffraction,12
diego_garcia,Diego Garcia,12
druze,Druze,12
dark_matter,Dark matter,12
double-slit_experiment,Double-slit experiment,12
dna_ligase,DNA ligase,12
doppler_effect,Doppler effect,12
dharma,Dharma,13
daniel_dennett,Daniel Dennett,13
dahomey,Dahomey,13
daniel_ortega,Daniel Ortega,13
dylan_thomas,Dylan Thomas,13
double_bass,Double bass,13
division_of_labour,Division of labour,13
danse_macabre,Danse Macabre,13
deconstruction,Deconstruction,13
drake_equation,Drake equation,13
damascus,Damascus,13
derek_walcott,Derek Walcott,13
dna_replication,DNA replication,13
django_reinhardt,Django Reinhardt,13
jacques-louis_david,Jacques-Louis David,13
dhimmi,Dhimmi,13
divine_right_of_kings,Divine right of kings,13
dolly_(sheep),Dolly (sheep),13
ernst_mayr,Ernst Mayr,13
esperanto,Esperanto,13
ethics,Ethics,13
ether,Ether,13
elephant,Elephant,13
erasmus_darwin,Erasmus Darwin,13
edward_sapir,Edward Sapir,13
easter,Easter,13
ethan_allen,Ethan Allen,13
ecuador,Ecuador,13
el_salvador,El Salvador,13
equatorial_guinea,Equatorial Guinea,14
ernest_hemingway,Ernest Hemingway,14
eskimo,Eskimo,14
edward_jenner,Edward Jenner,14
edmund_husserl,Edmund Husserl,14
electromagnetism,Electromagnetism,14
edmund_spenser,Edmund Spenser,14
edgar_allan_poe,Edgar Allan Poe,14
empedocles,Empedocles,14
e._e._cummings,E. E. Cummings,14
existentialism,Existentialism,14
electronvolt,Electronvolt,14
edinburgh,Edinburgh,14
ernest_rutherford,Ernest Rutherford,14
many-worlds_interpretation,Many-worlds interpretation,14
elizabeth_barrett_browning,Elizabeth Barrett Browning,14
enlil,Enlil,14
book_of_exodus,Book of Exodus,14
erewhon,Erewhon,14
ester,Ester,14
endosymbiont,Endosymbiont,14
epistle_of_jude,Epistle of Jude,14
electronegativity,Electronegativity,14
empire_state_building,Empire State Building,14
eugenics,Eugenics,14
eucharist,Eucharist,14
endoplasmic_reticulum,Endoplasmic reticulum,14
edvard_munch,Edvard Munch,14
euripides,Euripides,14
eris_(mythology),Eris (mythology),14
edna_st._vincent_millay,Edna St. Vincent Millay,14
ethylene,Ethylene,14
ezra,Ezra,14
elijah,Elijah,14
elf,ELF,14
entropy,Entropy,14
epistle_to_the_hebrews,Epistle to the Hebrews,14
esther,Esther,14
equation_of_state,Equation of state,14
ecclesiastes,Ecclesiastes,14
ezekiel,Ezekiel,14
first_epistle_to_the_thessalonians,First Epistle to the Thessalonians,14
eleanor_of_aquitaine,Eleanor of Aquitaine,15
essenes,Essenes,15
erie_canal,Erie Canal,15
ethanol,Ethanol,15
epicurus,Epicurus,15
edward_elgar,Edward Elgar,15
desiderius_erasmus,Desiderius Erasmus,15
eurystheus,Eurystheus,15
empiricism,Empiricism,15
eastern_orthodox_church,Eastern Orthodox Church,15
euphrates,Euphrates,15
estonian_language,Estonian language,15
epinephrine,Epinephrine,15
enthalpy,Enthalpy,15
epr_paradox,EPR paradox,15
e._o._wilson,E. O. Wilson,15
gravitational_redshift,Gravitational redshift,15
easter_rising,Easter Rising,15
econometrics,Econometrics,15
emotion,Emotion,15
epictetus,Epictetus,15
eos,Eos,15
enki,Enki,15
edwin_hubble,Edwin Hubble,15
flute,Flute,15
finland,Finland,15
fullerene,Fullerene,15
friedrich_nietzsche,Friedrich Nietzsche,15
frank_lloyd_wright,Frank Lloyd Wright,16
fiji,Fiji,16
federal_reserve_system,Federal Reserve System,16
francium,Francium,16
fruit,Fruit,16
franz_kafka,Franz Kafka,16
the_trial,The Trial,16
the_metamorphosis,The Metamorphosis,16
francisco_goya,Francisco Goya,16
fugue,Fugue,16
fibonacci_number,Fibonacci number,16
finite-state_machine,Finite-state machine,16
functional_programming,Functional programming,16
fahrenheit_451,Fahrenheit 451,16
francis_xavier,Francis Xavier,16
fenrir,Fenrir,16
frederick_douglass,Frederick Douglass,16
freyr,Freyr,16
freyja,Freyja,16
ferdinand_de_saussure,Ferdinand de Saussure,16
five_pillars_of_islam,Five Pillars of Islam,16
friction,Friction,16
fresco,Fresco,16
fortran,Fortran,16
francis_fukuyama,Francis Fukuyama,16
falstaff,Falstaff,16
fatwa,Fatwa,17
elementary_particle,Elementary particle,17
francisco_i._madero,Francisco I. Madero,17
feudalism,Feudalism,17
frigg,Frigg,17
four_noble_truths,Four Noble Truths,17
french_republican_calendar,French Republican Calendar,17
forseti,Forseti,17
flores,Flores,17
federated_states_of_micronesia,Federated States of Micronesia,17
horn_(instrument),Horn (instrument),17
fra_angelico,Fra Angelico,17
francis_crick,Francis Crick,17
francisco_franco,Francisco Franco,17
francis_drake,Francis Drake,17
falklands_war,Falklands War,17
florence,Florence,17
fluorescence,Fluorescence,17
feynman_diagram,Feynman diagram,17
francis_of_assisi,Francis of Assisi,17
friedrich_hayek,Friedrich Hayek,17
fick's_laws_of_diffusion,Fick's laws of diffusion,17
franz_boas,Franz Boas,17
fuel_cell,Fuel cell,17
frederick_soddy,Frederick Soddy,17
ferromagnetism,Ferromagnetism,17
glycine,Glycine,17
george_orwell,George Orwell,18
george_berkeley,George Berkeley,18
g._e._moore,G. E. Moore,18
george_washington,George Washington,18
johann_gottlieb_fichte,Johann Gottlieb Fichte,18
general_relativity,General relativity,18
gabon,Gabon,18
ghana,Ghana,18
graviton,Graviton,18
greenland,Greenland,18
guernsey,Guernsey,18
germanium,Germanium,18
gottfried_wilhelm_leibniz,Gottfried Wilhelm Leibniz,18
gotthold_ephraim_lessing,Gotthold Ephraim Lessing,18
gustave_flaubert,Gustave Flaubert,18
galen,Galen,18
gustav_kirchhoff,Gustav Kirchhoff,18
ghent,Ghent,18
gnome,Gnome,18
gioachino_rossini,Gioachino Rossini,18
gustav_klimt,Gustav Klimt,18
guanine,Guanine,18
ganges,Ganges,18
gradient,Gradient,18
gnosticism,Gnosticism,18
gospel_of_mark,Gospel of Mark,19
gospel_of_luke,Gospel of Luke,19
gospel_of_john,Gospel of John,19
grover_cleveland,Grover Cleveland,19
galilean_moons,Galilean moons,19
gerard_manley_hopkins,Gerard Manley Hopkins,19
gilles_deleuze,Gilles Deleuze,19
glass,Glass,19
gel_electrophoresis,Gel electrophoresis,19
golgi_apparatus,Golgi apparatus,19
gross_domestic_product,Gross domestic product,19
georg_wilhelm_friedrich_hegel,Georg Wilhelm Friedrich Hegel,19
grand_unified_theory,Grand Unified Theory,19
gospel,Gospel,19
gian_lorenzo_bernini,Gian Lorenzo Bernini,19
glycolysis,Glycolysis,19
gluon,Gluon,19
grand_jury,Grand jury,19
giant_panda,Giant panda,19
giacomo_puccini,Giacomo Puccini,19
george_frideric_handel,George Frideric Handel,19
giovanni_pierluigi_da_palestrina,Giovanni Pierluigi da Palestrina,19
geoffrey_chaucer,Geoffrey Chaucer,19
general_agreement_on_tariffs_and_trade,General Agreement on Tariffs and Trade,19
g_protein-coupled_receptor,G protein-coupled receptor,19
g_protein,G protein,19
george_bernard_shaw,George Bernard Shaw,19
gini_coefficient,Gini coefficient,19
gram_staining,Gram staining,19
gram-negative_bacteria,Gram-negative bacteria,19
grammatical_aspect,Grammatical aspect,19
glucose,Glucose,19
giovanni_boccaccio,Giovanni Boccaccio,19
giuseppe_verdi,Giuseppe Verdi,19
giordano_bruno,Giordano Bruno,19
geiger_counter,Geiger counter,19
george_washington_carver,George Washington Carver,19
gilbert_n._lewis,Gilbert N. Lewis,19
gilbert_and_sullivan,Gilbert and Sullivan,19
george_eliot,George Eliot,19
georg_philipp_telemann,Georg Philipp Telemann,19
george_gershwin,George Gershwin,19
grammatical_gender,Grammatical gender,19
galileo_(spacecraft),Galileo (spacecraft),19
gametophyte,Gametophyte,19
gunpowder_plot,Gunpowder Plot,20
hera,Hera,20
hades,Hades,20
hydrogen,Hydrogen,20
helium,Helium,20
halogen,Halogen,20
hudson's_bay_company,Hudson's Bay Company,20
hittites,Hittites,20
haiti,Haiti,20
honduras,Honduras,20
geography_of_hungary,Geography of Hungary,20
heinrich_hertz,Heinrich Hertz,20
h._g._wells,H. G. Wells,20
hedonism,Hedonism,20
hemoglobin,Hemoglobin,20
hippocrates,Hippocrates,20
henri_bergson,Henri Bergson,20
heart_of_darkness,Heart of Darkness,20
hinduism,Hinduism,20
henry_fielding,Henry Fielding,20
hermann_hesse,Hermann Hesse,20
huldrych_zwingli,Huldrych Zwingli,20
half-life,Half-life,20
hydrogen_bond,Hydrogen bond,20
howard_carter,Howard Carter,20
hadrian,Hadrian,20
herman_melville,Herman Melville,20
heinrich_schliemann,Heinrich Schliemann,20
hypnos,Hypnos,20
hermann_ebbinghaus,Hermann Ebbinghaus,20
heimdallr,Heimdallr,20
hyperinflation,Hyperinflation,20
herbert_hoover,Herbert Hoover,20
hildegard_of_bingen,Hildegard of Bingen,20
horace,Horace,20
helsinki,Helsinki,20
hesiod,Hesiod,20
hero,Hero,20
robert_koch,Robert Koch,20
hadith,Hadith,21
houston,Houston,21
heraclitus,Heraclitus,21
heracles,Heracles,21
hadron,Hadron,21
huffman_coding,Huffman coding,21
harmonic_oscillator,Harmonic oscillator,21
harp,Harp,21
hannibal,Hannibal,21
hosea,Hosea,21
hymenoptera,Hymenoptera,21
hans-georg_gadamer,Hans-Georg Gadamer,21
haemophilia,Haemophilia,21
haber_process,Haber process,21
histone,Histone,21
habeas_corpus,Habeas corpus,21
henry_the_navigator,Henry the Navigator,21
hanseatic_league,Hanseatic League,21
henry_purcell,Henry Purcell,21
hiv,HIV,21
henry_i_of_england,Henry I of England,21
henry_vii_of_england,Henry VII of England,21
herbert_a._simon,Herbert A. Simon,21
hydrogen_atom,Hydrogen atom,22
henrik_ibsen,Henrik Ibsen,22
hall_effect,Hall effect,22
adventures_of_huckleberry_finn,Adventures of Huckleberry Finn,22
holy_grail,Holy Grail,22
homo_habilis,Homo habilis,22
humphry_davy,Humphry Davy,22
hamiltonian_(quantum_mechanics),Hamiltonian (quantum mechanics),22
hydrolysis,Hydrolysis,22
hephaestus,Hephaestus,22
hydrogen_peroxide,Hydrogen peroxide,22
hermes,Hermes,22
henry_moseley,Henry Moseley,22
heimskringla,Heimskringla,22
idaho,Idaho,22
immanuel_kant,Immanuel Kant,22
iran,Iran,22
isle_of_man,Isle of Man,22
italic_languages,Italic languages,22
iodine,Iodine,22
iridium,Iridium,22
intelligence_quotient,Intelligence quotient,23
insulin,Insulin,23
inductor,Inductor,23
inertia,Inertia,23
immune_system,Immune system,23
icosahedron,Icosahedron,23
imhotep,Imhotep,23
ivanhoe,Ivanhoe,23
isaiah,Isaiah,23
ionosphere,Ionosphere,23
interferon,Interferon,23
indira_gandhi,Indira Gandhi,23
isaac,Isaac,23
genomic_imprinting,Genomic imprinting,23
immaculate_conception,Immaculate Conception,23
imperialism,Imperialism,23
inca_empire,Inca Empire,23
impeachment,Impeachment,23
intron,Intron,23
insanity_defense,Insanity defense,23
irving_langmuir,Irving Langmuir,23
infrared_spectroscopy,Infrared spectroscopy,23
idealism,Idealism,23
ignatius_of_antioch,Ignatius of Antioch,23
entropy_(information_theory),Entropy (information theory),23
indus_river,Indus River,24
isaac_bashevis_singer,Isaac Bashevis Singer,24
james_joyce,James Joyce,24
jonathan_swift,Jonathan Swift,24
john_stuart_mill,John Stuart Mill,24
john_quincy_adams,John Quincy Adams,24
jamaica,Jamaica,24
johannes_kepler,Johannes Kepler,24
john_bardeen,John Bardeen,24
jules_verne,Jules Verne,24
jorge_luis_borges,Jorge Luis Borges,24
jane_austen,Jane Austen,24
joseph_conrad,Joseph Conrad,24
john_updike,John Updike,24
john_steinbeck,John Steinbeck,24
joshua_reynolds,Joshua Reynolds,24
joseph_schumpeter,Joseph Schumpeter,24
jean_cocteau,Jean Cocteau,24
john_donne,John Donne,24
j._r._r._tolkien,J. R. R. Tolkien,24
jason,Jason,24
jack_kerouac,Jack Kerouac,24
jabberwocky,Jabberwocky,24
john_a._macdonald,John A. Macdonald,24
john_wilkes_booth,John Wilkes Booth,24
john_calvin,John Calvin,24
james_monroe,James Monroe,24
james_k._polk,James K. Polk,24
jimmy_carter,Jimmy Carter,25
jerome,Jerome,25
jainism,Jainism,25
jerusalem,Jerusalem,25
jericho,Jericho,25
joseph_haydn,Joseph Haydn,25
jacob,Jacob,25
joshua,Joshua,25
john_the_baptist,John the Baptist,25
jefferson_davis,Jefferson Davis,25
john_locke,John Locke,25
jacques_lacan,Jacques Lacan,25
john_dewey,John Dewey,25
jihad,Jihad,25
james_g._blaine,James G. Blaine,25
justinian_i,Justinian I,25
john_milton,John Milton,25
jonah,Jonah,25
jawaharlal_nehru,Jawaharlal Nehru,25
jakarta,Jakarta,25
jackson_pollock,Jackson Pollock,25
joseph_mccarthy,Joseph McCarthy,25
john_hancock,John Hancock,25
johannes_brahms,Johannes Brahms,25
jean-paul_sartre,Jean-Paul Sartre,25
john_paul_jones,John Paul Jones,25
james_tobin,James Tobin,25
john_keats,John Keats,25
jet_stream,Jet stream,25
john_wycliffe,John Wycliffe,25
julia_kristeva,Julia Kristeva,25
john_adams_(composer),John Adams (composer),25
"joseph_lister,_1st_baron_lister","Joseph Lister, 1st Baron Lister",25
john_hay,John Hay,26
kilogram,Kilogram,26
karl_popper,Karl Popper,26
konrad_adenauer,Konrad Adenauer,26
kazakhstan,Kazakhstan,26
geography_of_kazakhstan,Geography of Kazakhstan,26
geography_of_kyrgyzstan,Geography of Kyrgyzstan,26
kansas,Kansas,26
karl_marx,Karl Marx,26
kevlar,Kevlar,26
king_james_version,King James Version,26
kaddish,Kaddish,26
kalevala,Kalevala,26
kuiper_belt,Kuiper belt,26
ketone,Ketone,26
king_arthur,King Arthur,26
kentucky,Kentucky,26
kurtosis,Kurtosis,26
kurt_vonnegut,Kurt Vonnegut,26
karma,Karma,26
kabbalah,Kabbalah,26
kabuki,Kabuki,26
kwashiorkor,Kwashiorkor,26
kidney,Kidney,26
kantele,Kantele,26
kwame_nkrumah,Kwame Nkrumah,26
kangaroo,Kangaroo,26
kangchenjunga,Kangchenjunga,26
konrad_lorenz,Konrad Lorenz,27
kary_mullis,Kary Mullis,27
kinsey_reports,Kinsey Reports,27
kalahari_desert,Kalahari Desert,27
kubla_khan,Kubla Khan,27
ken_kesey,Ken Kesey,27
karlheinz_stockhausen,Karlheinz Stockhausen,27
krzysztof_penderecki,Krzysztof Penderecki,27
kazimir_malevich,Kazimir Malevich,27
karl_ernst_von_baer,Karl Ernst von Baer,27
kinetic_energy,Kinetic energy,27
k2,K2,27
