link,allcount,intext,QANTA,IR_Wiki,train,test
s_rule,5,0,5,0,0,5
carbocation,3,0,0,3,3,0
gateway_arch,9,0,0,9,8,1
sekhmet,42,0,0,42,42,0
edward_said,46,0,0,46,44,2
semiconductor,58,0,0,58,58,0
phaedo,29,0,0,29,29,0
scarlet_fever,33,3,0,30,33,0
book_of_the_dead,43,0,0,43,43,0
giambattista_vico,2,0,0,2,1,1
slide_rule,7,0,0,7,7,0
otto_von_bismarck,532,4,180,348,512,20
dracula,201,0,68,133,201,0
chlorine,78,0,0,78,78,0
jameson_raid,166,0,157,9,158,8
buster_keaton,13,0,0,13,13,0
ottoman_navy,1,1,0,0,1,0
samuel_pierpont_langley,2,0,0,2,2,0
silicon,67,0,0,67,67,0
labour_party_(uk),185,0,71,114,185,0
lie_algebra,5,0,0,5,5,0
sonogashira_coupling,49,0,0,49,46,3
electron_laser,1,0,0,1,0,1
the_house_of_bernarda_alba,5,5,0,0,5,0
quadrupole,12,0,0,12,12,0
feldspar,2,0,0,2,2,0
pulsar,31,0,0,31,31,0
clara_barton,174,0,109,65,170,4
silent_cry,251,0,232,19,241,10
marian_anderson,13,3,0,10,13,0
s_afraid_of_virginia_woolf,9,0,4,5,0,9
three_studies_for_figures_at_the_base_of_a_crucifixion,1,0,0,1,1,0
shirley_jackson,107,3,62,42,105,2
andrei_rublev_(film),14,0,0,14,14,0
erikson's_stages_of_psychosocial_development,20,0,0,20,20,0
undine_(lortzing),2,0,0,2,2,0
atalanta,302,0,218,84,302,0
gospel_of_thomas,60,0,0,60,59,1
sulawesi,4,0,0,4,4,0
drosophila_melanogaster,63,0,0,63,56,7
franz_kafka,599,5,237,357,577,22
house_of_savoy,2,2,0,0,2,0
alfred_russel_wallace,130,0,0,130,127,3
olbers'_paradox,8,0,0,8,8,0
alexander_pope,182,3,126,53,176,6
federal_emergency_management_agency,5,0,0,5,5,0
atlas_mountains,2,0,0,2,1,1
ferroelectricity,57,0,0,57,57,0
fermionic_condensate,24,0,0,24,22,2
anthony_van_dyck,8,0,0,8,8,0
ilmarinen,16,0,0,16,16,0
batu_khan,1,1,0,0,1,0
s_day_massacre,10,0,4,6,0,10
harmonic_oscillator,37,0,0,37,35,2
zeno_of_elea,2,0,0,2,2,0
stephen_langton,1,0,0,1,1,0
alien_and_sedition_acts,113,0,105,8,108,5
morality,80,0,0,80,80,0
anticosti_island,2,2,0,0,2,0
cardinal_richelieu,1,1,0,0,1,0
beyond_the_pleasure_principle,15,0,0,15,15,0
christian_philosophy,1,0,0,1,0,1
george_grosz,1,0,0,1,1,0
s_house,7,0,3,4,0,7
otello,6,0,0,6,6,0
banff_national_park,11,0,0,11,11,0
cross_of_gold_speech,18,2,0,16,18,0
oeconomicus,1,0,0,1,1,0
wild_strawberries_(film),11,0,0,11,11,0
spiritual_exercises_of_ignatius_of_loyola,1,0,0,1,1,0
neutron_star,87,0,0,87,84,3
astarte,36,0,0,36,36,0
the_road_to_serfdom,48,0,0,48,48,0
jacquerie,88,0,67,21,88,0
benedetto_croce,20,10,0,10,19,1
statistical_thermodynamics,1,0,0,1,0,1
cupid,107,0,0,107,107,0
meno,10,0,0,10,10,0
lepidoptera,47,0,0,47,47,0
rite_of_passage,3,0,0,3,2,1
agni,182,0,141,41,182,0
baruch_spinoza,130,2,0,128,125,5
robert_lowie,3,0,0,3,2,1
hard_times,203,7,90,106,198,5
tungsten,24,0,0,24,24,0
lactose_intolerance,17,0,0,17,16,1
lake_michigan,14,0,0,14,14,0
heracles,547,0,142,405,547,0
heian_period,1,1,0,0,1,0
saul,61,0,0,61,61,0
brachiosaurus,6,0,0,6,6,0
supply_(economics),7,0,0,7,7,0
queen_of_sheba,16,3,0,13,16,0
escape_from_freedom,1,0,0,1,1,0
crimean_war,374,2,119,253,361,13
wannsee_conference,3,3,0,0,3,0
john_peter_zenger,69,0,58,11,69,0
hammond's_postulate,4,0,0,4,4,0
puck_(a_midsummer_night's_dream),1,0,0,1,1,0
magnetic_fields,13,13,0,0,13,0
delphi,90,0,0,90,90,0
leon_trotsky,309,2,92,215,300,9
meissner_effect,56,0,50,6,53,3
david_mamet,9,2,0,7,9,0
aten,10,0,0,10,10,0
andreas_vesalius,9,0,0,9,9,0
polaris_(comics),39,0,0,39,39,0
friedel-crafts_reaction,52,0,52,0,52,0
safavid_dynasty,325,0,65,260,312,13
butane,2,0,0,2,2,0
william_jennings_bryan,290,0,141,149,281,9
baltic_sea,5,5,0,0,5,0
maximilien_de_robespierre,192,0,106,86,186,6
rossby_wave,6,0,0,6,6,0
alcuin,3,0,0,3,3,0
richard_rush,3,3,0,0,3,0
philip_ii_of_macedon,93,0,65,28,87,6
obscenity,7,0,0,7,7,0
otto_rank,50,0,0,50,50,0
medulla_oblongata,2,0,0,2,2,0
welfare_state,5,5,0,0,4,1
kerr_metric,78,0,0,78,75,3
pregnancy,35,0,0,35,35,0
hadith,122,0,120,2,122,0
symphony_no._104_(haydn),1,0,0,1,1,0
prisoner's_dilemma,21,0,0,21,21,0
markov_chain,36,0,0,36,32,4
angkor,50,0,0,50,50,0
sleipnir,41,0,0,41,41,0
corpus_luteum,5,0,0,5,5,0
chile,43,0,0,43,43,0
huey_long,279,1,97,181,271,8
the_hairy_ape,3,3,0,0,3,0
pompeii,18,0,0,18,18,0
essential_amino_acid,7,0,0,7,6,1
calcium,19,0,0,19,19,0
sinbad_the_sailor,1,1,0,0,0,1
max_brod,4,4,0,0,4,0
alkaloid,35,0,0,35,35,0
joshua_reynolds,4,0,0,4,4,0
taqiyya,2,0,0,2,2,0
demeter,397,0,295,102,397,0
yggdrasil,34,0,0,34,34,0
neville_chamberlain,320,0,131,189,310,10
middletown_studies,7,0,0,7,7,0
robert_jordan,2,2,0,0,2,0
bill_of_attainder,5,0,0,5,5,0
inferior_good,1,0,0,1,1,0
george_washington_(houdon),1,0,0,1,1,0
the_death_of_socrates,3,0,0,3,3,0
george_b._mcclellan,356,0,158,198,356,0
immune_tolerance,14,0,0,14,14,0
gamma-ray_burst,30,0,0,30,30,0
adrenal_gland,95,0,81,14,93,2
tishrei,9,0,0,9,9,0
nervous_conditions,7,0,0,7,7,0
buddy_rich,1,0,0,1,1,0
predestination_(calvinism),12,0,0,12,12,0
lake_kivu,14,0,0,14,14,0
charles_a._beard,26,0,0,26,26,0
the_plot_against_america,2,2,0,0,2,0
lady_with_an_ermine,1,0,0,1,1,0
real_irish_republican_army,2,0,0,2,2,0
djibouti,12,0,0,12,12,0
the_return_of_the_native,324,2,221,101,313,11
transnistria,2,0,0,2,2,0
georg_wilhelm_friedrich_hegel,316,0,188,128,299,17
golgi_apparatus,118,2,97,19,113,5
max_horkheimer,32,0,0,32,30,2
fortran,4,0,0,4,4,0
scrotum,1,0,0,1,1,0
telemachus,39,0,0,39,39,0
amino_acids,14,14,0,0,13,1
guinevere,32,0,0,32,32,0
price_discrimination,23,5,0,18,22,1
hudson's_bay_company,101,0,52,49,101,0
sarpedon,25,0,0,25,25,0
sean_o,9,0,0,9,0,9
oaxaca,41,0,0,41,41,0
lens_(anatomy),37,0,0,37,37,0
"toccata_and_fugue_in_d_minor,_bwv_565",2,0,0,2,2,0
mark_antony,240,1,145,94,230,10
ghosts_(play),131,0,83,48,131,0
erich_fromm,168,0,117,51,164,4
g._e._m._anscombe,32,0,0,32,32,0
hmong_customs_and_culture,68,0,0,68,66,2
trombone,12,0,0,12,12,0
nobel_prize_in_literature,5,5,0,0,4,1
neutrino,214,0,63,151,214,0
dark_matter,210,2,96,112,199,11
pleiades,8,0,0,8,8,0
sociology,167,0,0,167,167,0
the_dumb_waiter,1,1,0,0,1,0
public_good,23,0,0,23,22,1
cynicism_(philosophy),24,0,0,24,24,0
james_buchanan,343,8,143,192,327,16
noam_chomsky,70,0,0,70,67,3
syphilis,55,0,38,17,55,0
lawrence_klein,1,0,0,1,1,0
elizabeth_bennet,1,1,0,0,1,0
brian_boru,43,0,0,43,41,2
epr_paradox,80,0,0,80,78,2
bamboo,43,0,0,43,43,0
body_of_tibia,4,0,0,4,4,0
ian_mcewan,3,3,0,0,3,0
cytochrome_c,24,6,0,18,23,1
carolingian_dynasty,2,2,0,0,2,0
epicureanism,153,0,100,53,153,0
leptin,95,0,0,95,95,0
albany_congress,92,0,85,7,90,2
virgo_(constellation),4,0,0,4,4,0
botany_bay,2,0,0,2,2,0
thermodynamic_activity,60,0,0,60,59,1
medea,180,0,46,134,180,0
samuel_richardson,224,8,127,89,220,4
imre_lakatos,43,0,0,43,42,1
joseph_smith,1,1,0,0,1,0
golden_legend,6,5,0,1,6,0
symphony,1,0,0,1,1,0
stanford_prison_experiment,19,0,0,19,19,0
the_turn_of_the_screw,253,0,176,77,245,8
herbert_spencer,285,0,118,167,275,10
skin_effect,50,0,0,50,50,0
simpson_desert,4,0,0,4,4,0
beatitudes,2,0,0,2,2,0
anna_freud,8,0,0,8,8,0
melanin,136,0,92,44,136,0
tasmania,27,0,0,27,27,0
meditations_on_first_philosophy,136,0,83,53,131,5
anton_chekhov,458,8,175,275,438,20
original_sin,33,4,0,29,33,0
orion_(constellation),33,0,0,33,33,0
tilman_riemenschneider,6,0,0,6,6,0
procyon,2,0,0,2,2,0
victoria_(australia),6,0,0,6,6,0
earnshaw's_theorem,14,0,0,14,14,0
maunder_minimum,1,0,0,1,1,0
symphony_of_psalms,1,0,0,1,1,0
the_writing_on_the_wall,8,0,0,8,8,0
internal_energy,110,5,0,105,108,2
melanoma,49,0,0,49,49,0
we_are_the_night_(film),10,0,0,10,10,0
being_and_nothingness,15,0,0,15,14,1
cambodia,16,0,0,16,16,0
upanishads,151,0,92,59,151,0
lady_macbeth_of_the_mtsensk_district_(opera),2,0,0,2,2,0
rh_blood_group_system,13,0,0,13,13,0
sherwood_anderson,237,3,65,169,224,13
lorentz_transformation,35,0,0,35,34,1
susan_b,4,0,2,2,0,4
mahdi,28,0,0,28,28,0
glycosylation,6,0,0,6,6,0
pion,21,0,0,21,21,0
hexokinase,17,0,0,17,17,0
monmouth_rebellion,3,3,0,0,3,0
learned_helplessness,24,0,0,24,23,1
bruno_latour,52,0,0,52,52,0
bunraku,2,0,0,2,2,0
gallbladder,57,0,51,6,57,0
ajax_(mythology),59,0,0,59,59,0
syntactic_structures,11,0,0,11,11,0
laminin,43,0,0,43,43,0
middle_english,5,0,0,5,5,0
"the_lion,_the_witch_and_the_wardrobe",21,0,0,21,21,0
thiol,44,0,0,44,44,0
lou_dobbs,7,0,0,7,7,0
"joseph_lister,_1st_baron_lister",6,0,0,6,6,0
arthur_miller,394,6,236,152,383,11
the_scrivener,6,0,3,3,0,6
robert_moses,2,0,0,2,0,2
civilian_conservation_corps,106,0,87,19,103,3
charles-valentin_alkan,7,0,0,7,7,0
homo_habilis,8,0,0,8,8,0
rationality,12,0,0,12,12,0
erich_maria_remarque,178,5,127,46,169,9
alfred_adler,267,0,172,95,260,7
sonora,54,0,0,54,54,0
the_third_wave_(toffler),1,0,0,1,1,0
femur,55,0,39,16,55,0
indus_river,41,0,0,41,40,1
book_of_daniel,83,0,0,83,80,3
orson_welles,30,0,0,30,28,2
islets_of_langerhans,15,10,0,5,14,1
william_walton,5,0,0,5,5,0
norman_rockwell,1,0,0,1,1,0
pontius_pilate,57,8,0,49,56,1
compromise_of_1850,135,0,104,31,135,0
newton's_rings,1,0,0,1,1,0
horn_of_africa,15,0,0,15,15,0
decarboxylation,2,0,0,2,2,0
michael_tippett,13,0,0,13,12,1
vascular_endothelial_growth_factor,32,0,0,32,29,3
fyodor_dostoyevsky,8,8,0,0,8,0
human_papillomavirus,42,0,0,42,41,1
ancient_greek,9,5,0,4,9,0
all_my_sons,460,2,303,155,444,16
adaptive_optics,8,0,0,8,7,1
s_impossibility_theorem,2,0,2,0,0,2
rhodopsin,81,0,76,5,81,0
etruscan_mythology,21,0,0,21,21,0
leo_strauss,145,0,0,145,139,6
beta-lactamase,10,0,0,10,10,0
francisco_i._madero,111,0,47,64,111,0
cavalleria_rusticana,1,0,0,1,1,0
eurystheus,71,0,0,71,71,0
ferrofluid,35,0,0,35,35,0
myoglobin,12,0,0,12,12,0
pryderi,31,0,0,31,31,0
tierra_del_fuego,4,0,0,4,3,1
calgary,12,0,0,12,12,0
william_penn,233,3,98,132,221,12
gerhard_richter,4,0,0,4,4,0
henry_l._stimson,121,0,86,35,121,0
menachem_begin,3,3,0,0,3,0
to_the_lighthouse,201,3,136,62,196,5
oregon,16,0,0,16,16,0
cystic_fibrosis,174,0,77,97,167,7
talcott_parsons,408,4,101,303,389,19
freyja,365,0,218,147,365,0
pope_julius_ii,5,5,0,0,5,0
dietrich_fischer-dieskau,1,0,0,1,1,0
pyrenees,4,0,0,4,4,0
four_quartets,194,0,151,43,186,8
the_picture_of_dorian_gray,396,2,238,156,377,19
jan_tinbergen,1,0,0,1,1,0
feast_of_the_immaculate_conception,2,0,0,2,2,0
europa_(mythology),83,0,0,83,83,0
pontiac_(person),33,0,21,12,33,0
united_nations_general_assembly,2,0,0,2,2,0
concordat_of_worms,12,3,0,9,11,1
manichaeism,268,0,166,102,268,0
battle_of_chaldiran,3,3,0,0,3,0
grignard_reaction,116,2,66,48,113,3
electron_capture,12,0,0,12,12,0
our_town,144,1,117,26,129,15
magic_(paranormal),196,0,0,196,196,0
vancouver,16,0,0,16,16,0
tisha_b,4,0,3,1,0,4
elephant,81,0,0,81,81,0
erasmus_darwin,11,0,0,11,10,1
edinburgh,8,0,0,8,8,0
stephen_vincent_benet,122,0,59,63,114,8
echidna,2,0,0,2,2,0
conchobar_mac_nessa,19,0,0,19,17,2
george_caleb_bingham,2,0,0,2,2,0
critical_point_(thermodynamics),151,0,137,14,151,0
leviathan_(book),226,0,187,39,226,0
santa_fe_trail,5,0,0,5,5,0
ezra_pound,446,0,152,294,433,13
gotthold_ephraim_lessing,340,0,319,21,328,12
thirty_years,18,2,5,11,2,16
outer_banks,1,0,0,1,1,0
han_dynasty,290,0,90,200,273,17
pernicious_anemia,68,4,0,64,66,2
book_of_lamentations,10,0,0,10,10,0
harold_pinter,541,0,173,368,522,19
gross_domestic_product,32,0,0,32,30,2
robert_brown_(botanist),3,0,0,3,3,0
ernest_hemingway,832,7,212,613,812,20
limbo,26,0,0,26,26,0
chromatin,25,0,0,25,25,0
aldehyde,127,0,47,80,127,0
moment_of_inertia,153,6,78,69,150,3
cyrus_the_great,259,0,112,147,244,15
avogadro_constant,59,0,0,59,59,0
the_rite_of_spring,5,0,0,5,5,0
labour_party_,3,0,2,1,0,3
word_of_faith,23,0,0,23,23,0
coagulation,133,0,79,54,133,0
freyr,69,0,0,69,69,0
john_vanbrugh,13,0,0,13,13,0
tess_of_the_d,12,0,2,10,0,12
poet_laureate,7,7,0,0,6,1
hydrogen_peroxide,118,3,0,115,115,3
nemean_lion,20,0,0,20,19,1
honduras,17,0,0,17,17,0
scythians,35,0,0,35,35,0
bernadette_soubirous,25,0,0,25,24,1
venus_de_milo,3,0,0,3,3,0
john_ruskin,95,2,0,93,89,6
sawm_of_ramadan,3,0,0,3,3,0
nominalism,83,0,76,7,83,0
primavera_(painting),20,0,0,20,20,0
lagrangian,89,0,0,89,89,0
symbolic_interactionism,66,0,0,66,64,2
bragi,28,0,0,28,28,0
gunnar_myrdal,105,1,85,19,99,6
induced_stem_cells,96,0,0,96,95,1
o_captain!_my_captain!,37,0,20,17,37,0
presbyterianism,8,0,0,8,8,0
jean_renoir,5,0,0,5,5,0
bertrand_russell's_views_on_philosophy,97,0,0,97,97,0
samuel_p._huntington,9,0,0,9,9,0
white_dwarfs,2,2,0,0,2,0
dirac_equation,136,0,0,136,130,6
dialectic_of_enlightenment,4,0,0,4,4,0
battle_of_shiloh,145,0,84,61,141,4
emotion,90,0,0,90,90,0
the_mighty_ducks_(film_series),1,0,0,1,1,0
e._e._cummings,12,0,0,12,12,0
nathanael_west,2,2,0,0,2,0
maillard_reaction,8,0,0,8,8,0
liminality,77,0,0,77,77,0
the_golden_bough,162,0,153,9,158,4
briand_pact,3,0,2,1,0,3
uriel,11,0,0,11,11,0
the_three-cornered_hat,4,0,0,4,4,0
quantum_mechanics,204,8,0,196,197,7
lens_(optics),22,0,0,22,22,0
dido_and_aeneas,2,0,0,2,2,0
orpheus_in_the_underworld,5,0,0,5,5,0
ozymandias,138,0,101,37,138,0
condensation_reaction,8,0,0,8,8,0
earl_grey,3,3,0,0,3,0
battle_of_bunker_hill,181,0,75,106,175,6
giovanni_pico_della_mirandola,4,0,0,4,3,1
hmong_people,2,0,0,2,2,0
thetis,148,0,0,148,148,0
meteora,3,0,0,3,3,0
peter_paul_rubens,3,0,0,3,3,0
samuel_johnson,313,0,95,218,302,11
maya_lin,1,0,0,1,1,0
jansenism,12,0,0,12,12,0
carson_mccullers,101,5,53,43,97,4
course_in_general_linguistics,26,2,0,24,26,0
james_madison,5,5,0,0,5,0
emer,3,0,0,3,3,0
gravity's_rainbow,108,0,27,81,108,0
leonid_brezhnev,211,1,132,78,200,11
macular_degeneration,23,0,0,23,23,0
wynton_marsalis,3,0,0,3,3,0
long_march,148,0,102,46,138,10
algarve,3,0,0,3,3,0
leptis_magna,1,0,0,1,1,0
queen_of_scots,10,0,5,5,0,10
ferruccio_busoni,2,0,0,2,2,0
syllable,9,0,0,9,9,0
sean_o'casey,213,0,27,186,213,0
addis_ababa,8,0,0,8,8,0
andrew_marvell,155,0,74,81,146,9
solvay_process,10,0,0,10,9,1
george_armstrong_custer,223,0,72,151,215,8
string_quintet_,1,0,0,1,0,1
romulus_and_remus,350,0,238,112,341,9
knee,28,0,0,28,28,0
thalidomide,7,0,0,7,7,0
maoism,36,0,0,36,36,0
edward_albee,333,2,284,47,323,10
the_bald_soprano,276,0,246,30,260,16
vancouver_island,31,0,0,31,30,1
shiva,479,0,244,235,479,0
friction,178,0,95,83,178,0
magnetic_moment,63,7,0,56,62,1
knights_of_labor,127,0,120,7,122,5
architecture_of_istanbul,4,0,0,4,4,0
johnstown_flood,2,2,0,0,2,0
solar_eclipse,17,5,0,12,17,0
merlin,76,0,0,76,76,0
actin,243,0,63,180,243,0
patroclus,71,0,0,71,71,0
delaware_river,34,1,0,33,33,1
nova_scotia,7,0,0,7,7,0
wallace_line,1,0,0,1,1,0
thomas_young_,1,0,0,1,0,1
mikhail_bakunin,57,0,0,57,55,2
saint_peter,87,0,0,87,87,0
harun_al,1,0,0,1,0,1
nauru,2,0,0,2,2,0
las_meninas,17,0,0,17,17,0
brazos_river,1,0,0,1,1,0
krishna,513,0,156,357,513,0
in_cold_blood,3,3,0,0,3,0
saliva,15,0,0,15,15,0
cochlea,110,0,83,27,110,0
permeability_(electromagnetism),49,0,0,49,49,0
joseph_schumpeter,51,0,0,51,49,2
carmelites,16,0,0,16,16,0
perun,69,0,0,69,69,0
gout,61,0,39,22,61,0
battle_of_nagashino,2,2,0,0,2,0
silurian,6,0,0,6,6,0
philipp_otto_runge,2,0,0,2,2,0
free_soil_party,139,0,120,19,134,5
oscar_niemeyer,9,0,0,9,9,0
steve_reich,5,0,0,5,4,1
dysentery,17,0,0,17,17,0
von_neumann_architecture,4,0,0,4,4,0
zoroastrianism,470,0,302,168,470,0
hymenoptera,1,0,0,1,1,0
queen_victoria,2,2,0,0,2,0
wilderness_road,2,2,0,0,2,0
elijah,252,0,0,252,252,0
ontological_argument,99,0,74,25,91,8
leo_(constellation),5,0,0,5,5,0
kary_mullis,11,0,0,11,11,0
marcus_theory,67,0,0,67,62,5
rhodes,14,0,0,14,14,0
principia_mathematica,17,0,0,17,15,2
apis_(god),48,0,0,48,48,0
clear_and_present_danger,1,0,0,1,1,0
albigensian_crusade,107,0,86,21,103,4
on_crimes_and_punishments,2,0,0,2,2,0
funes_the_memorious,3,3,0,0,3,0
book_of_mormon,205,0,165,40,200,5
kurt_weill,9,1,0,8,9,0
hugo_wolf,4,0,0,4,4,0
s_displacement_law,1,0,0,1,0,1
pesaro_madonna,1,0,0,1,1,0
giuseppe_arcimboldo,1,0,0,1,1,0
heliosphere,8,0,0,8,8,0
fanny_price,2,2,0,0,2,0
essays_(montaigne),4,0,0,4,4,0
black_hole_of_calcutta,61,0,43,18,58,3
mekong,39,0,0,39,39,0
yongle_emperor,6,6,0,0,6,0
alzheimer's_disease,65,0,0,65,65,0
photon,284,0,0,284,284,0
gustav_kirchhoff,3,0,0,3,2,1
portrait_of_madame_x,4,0,0,4,4,0
coming_of_age_in_samoa,216,3,187,26,211,5
cardiac_muscle,15,0,0,15,15,0
lattice_energy,159,0,159,0,155,4
secretary_of_state,73,73,0,0,68,5
monarch_butterfly,16,0,0,16,16,0
wright_mills,5,0,3,2,0,5
rigveda,152,0,79,73,152,0
sonoluminescence,27,0,0,27,27,0
paul_broca,8,0,0,8,8,0
mensheviks,1,0,0,1,1,0
the_chrysanthemum_and_the_sword,15,6,0,9,15,0
day_of_ashura,25,0,0,25,24,1
snowball_earth,22,0,0,22,21,1
bronze_age,15,2,0,13,15,0
klemens_von_metternich,2,2,0,0,2,0
de_stijl,1,0,0,1,1,0
belarus,2,0,0,2,2,0
book_of_jonah,32,9,0,23,32,0
laurence_sterne,210,1,139,70,199,11
hsab_theory,26,0,0,26,24,2
sigurd,36,0,0,36,36,0
henry_the_lion,7,7,0,0,7,0
battle_of_the_thames,143,4,107,32,138,5
spanish_civil_war,351,10,144,197,343,8
south_australia,3,0,0,3,3,0
yangon,4,0,0,4,4,0
sibylline_books,4,0,0,4,4,0
messenger_rna,74,0,0,74,71,3
russian_orthodox_church,2,2,0,0,2,0
filippo_lippi,1,0,0,1,1,0
wainwright_building,1,0,0,1,1,0
geneva_bible,3,0,0,3,3,0
heathcliff_(wuthering_heights),127,0,76,51,127,0
era_of_good_feelings,2,2,0,0,2,0
henry_louis_gates,9,0,0,9,9,0
wandering_jew,31,0,0,31,31,0
virgin_of_the_rocks,2,0,0,2,2,0
guernsey,8,0,0,8,8,0
cologne_cathedral,3,0,0,3,3,0
eugenio_montale,1,0,0,1,1,0
muon,71,0,0,71,71,0
hanseatic_league,225,0,157,68,216,9
drake_equation,1,0,0,1,1,0
hades,302,0,105,197,302,0
gulf_of_fonseca,1,0,0,1,1,0
frederic_edwin_church,2,0,0,2,2,0
substance_p,19,0,0,19,18,1
the_night_watch,1,0,0,1,1,0
fiction_novel,2,2,0,0,2,0
sagittarius_(constellation),28,0,20,8,28,0
kerala,26,0,0,26,26,0
ostend_manifesto,232,3,200,29,227,5
haskell_(programming_language),1,0,0,1,1,0
tamburlaine_(play),8,0,0,8,8,0
theaetetus_(dialogue),20,0,0,20,20,0
"william_j._brennan,_jr.",3,0,0,3,3,0
iphigenia,85,0,0,85,85,0
vinson_massif,3,0,0,3,3,0
roland_barthes,74,0,0,74,73,1
edward_sapir,165,0,90,75,161,4
electron_affinity,25,7,0,18,23,2
coriolis_effect,193,0,118,75,190,3
red_river_rebellion,4,4,0,0,4,0
tsunami,14,0,0,14,14,0
paul_von_hindenburg,231,4,150,77,224,7
